column,frac_nan,n_nan,n_total
level_0,0.0,0,1500
level_1,0.0,0,1500
logg,0.0,0,1500
teff,0.0,0,1500
feh,0.0,0,1500
u_lambda_0,0.0,0,1500
u_lambda_1,0.0,0,1500
u_lambda_2,0.0,0,1500
u_lambda_3,0.0,0,1500
u_lambda_4,0.0,0,1500
u_lambda_5,0.0,0,1500
s_lambda_0,0.0,0,1500
s_lambda_1,0.0,0,1500
s_lambda_2,0.0,0,1500
s_lambda_3,0.0,0,1500
s_lambda_4,0.0,0,1500
s_lambda_5,0.0,0,1500
Dist,0.13333333333333333,200,1500
Hpmag_dr,0.06666666666666667,100,1500
BTmag_dr,0.06666666666666667,100,1500
VTmag_dr,0.06666666666666667,100,1500
BPmag_dr,0.06666666666666667,100,1500
RPmag_dr,0.06666666666666667,100,1500
BC_Hp,0.0,0,1500
BC_BT,0.0,0,1500
BC_VT,0.0,0,1500
BC_BP,0.0,0,1500
BC_RP,0.0,0,1500
f_bol_Hp,0.06666666666666667,100,1500
f_bol_BT,0.06666666666666667,100,1500
f_bol_VT,0.06666666666666667,100,1500
f_bol_BP,0.06666666666666667,100,1500
f_bol_RP,0.06666666666666667,100,1500
f_bol_final,0.06666666666666667,100,1500
L_star_final,0.2,300,1500
