column,frac_nan,n_nan,n_total
level_0,0.0,0,30
level_1,0.0,0,30
logg,0.0,0,30
teff,0.2,6,30
feh,0.0,0,30
u_lambda_0,0.2,6,30
u_lambda_1,0.2,6,30
u_lambda_2,0.2,6,30
u_lambda_3,0.2,6,30
u_lambda_4,0.2,6,30
u_lambda_5,0.2,6,30
s_lambda_0,0.0,0,30
s_lambda_1,0.0,0,30
s_lambda_2,0.0,0,30
s_lambda_3,0.0,0,30
s_lambda_4,0.0,0,30
s_lambda_5,0.0,0,30
Dist,0.13333333333333333,4,30
Hpmag_dr,0.06666666666666667,2,30
BTmag_dr,0.06666666666666667,2,30
VTmag_dr,0.06666666666666667,2,30
BPmag_dr,0.06666666666666667,2,30
RPmag_dr,0.06666666666666667,2,30
BC_Hp,0.0,0,30
BC_BT,0.0,0,30
BC_VT,0.0,0,30
BC_BP,0.0,0,30
BC_RP,0.0,0,30
f_bol_Hp,0.06666666666666667,2,30
f_bol_BT,0.06666666666666667,2,30
f_bol_VT,0.06666666666666667,2,30
f_bol_BP,0.06666666666666667,2,30
f_bol_RP,0.06666666666666667,2,30
f_bol_final,0.06666666666666667,2,30
L_star_final,0.2,6,30
