level_0,level_1,logg,teff,feh,u_lambda_0,u_lambda_1,u_lambda_2,u_lambda_3,u_lambda_4,u_lambda_5,s_lambda_0,s_lambda_1,s_lambda_2,s_lambda_3,s_lambda_4,s_lambda_5,Dist,Hpmag_dr,BTmag_dr,VTmag_dr,BPmag_dr,RPmag_dr,BC_Hp,BC_BT,BC_VT,BC_BP,BC_RP,f_bol_Hp,f_bol_BT,f_bol_VT,f_bol_BP,f_bol_RP,f_bol_final,L_star_final
HD222368,0,4.729987187258485,6361.042692517738,-0.02370576198165098,0.25818323073827226,0.25818323073827226,0.25818323073827226,0.25818323073827226,0.25818323073827226,0.25818323073827226,1.0,1.0,1.0,1.0,1.0,1.0,13.6546651922043,4.236589627706449,4.748926663413144,4.170408205110848,4.262963025726623,3.5533455893436003,-0.11599999999999999,-0.596,-0.064,-0.153,0.483,5.71248566897075e-07,5.544856475924845e-07,5.787589133957458e-07,5.768670913040403e-07,6.173376137623849e-07,5.611908153143207e-07,3.270481460894097
HD222368,1,4.405511609770565,6206.905314233219,0.02685722204131423,0.2618779407688215,0.2618779407688215,0.2618779407688215,0.2618779407688215,0.2618779407688215,0.2618779407688215,1.0,1.0,1.0,1.0,1.0,1.0,13.706975300476316,4.2365792406146205,4.726126092035262,4.187767364984907,4.260311013353346,3.558353519232436,-0.122,-0.645,-0.068,-0.166,0.51,5.744196372597032e-07,5.923938453981265e-07,5.716813555521503e-07,5.852434600958952e-07,5.994039035955775e-07,5.852041621427572e-07,3.4366055887820792
HD1581,0,3.965834138495436,5840.666905231039,-0.58057811168111,0.30749837997904417,0.30749837997904417,0.30749837997904417,0.30749837997904417,0.30749837997904417,0.30749837997904417,1.0,1.0,1.0,1.0,1.0,1.0,8.601346648572338,4.344034748150899,4.915562187482787,4.28505660116506,4.370117200430361,3.600059270971812,-0.19899999999999998,-0.754,-0.151,-0.247,0.51,5.585307334302075e-07,5.500929760735425e-07,5.642068234703416e-07,5.699202581052366e-07,5.768159571025165e-07,5.534680790162085e-07,1.279866009242379
HD1581,1,4.276159515718972,5843.388117180581,-0.43166900502213834,0.28141256142405446,0.28141256142405446,0.28141256142405446,0.28141256142405446,0.28141256142405446,0.28141256142405446,1.0,1.0,1.0,1.0,1.0,1.0,8.599967719450026,4.343998350786092,4.886660171027105,4.289953048114202,4.370530068934715,3.5994072371237444,-0.193,-0.7709999999999999,-0.14300000000000002,-0.243,0.521,5.554713121807253e-07,5.738480447535296e-07,5.575447816615753e-07,5.676085740038209e-07,5.713445378248025e-07,5.664973517244079e-07,1.3095755300025935
HD30652,0,4.600261019524462,6353.171043603131,-0.0751573603691506,0.2631846406653108,0.2631846406653108,0.2631846406653108,0.2631846406653108,0.2631846406653108,0.2631846406653108,1.0,1.0,1.0,1.0,1.0,1.0,8.019997911076237,3.285611806990179,3.7259254272865476,3.2169681350367316,3.5033800957814045,2.7116685689709956,-0.11900000000000001,-0.5920000000000001,-0.067,-0.155,0.479,1.3753595641324985e-06,1.4173946974968489e-06,1.3966054119243242e-06,1.163346094837538e-06,1.3452207170833185e-06,1.4005806441511088e-06,2.8157601341205205
HD30652,1,4.28456027185023,6583.426023061465,0.014090631423627879,0.21752732045098291,0.21752732045098291,0.21752732045098291,0.21752732045098291,0.21752732045098291,0.21752732045098291,1.0,1.0,1.0,1.0,1.0,1.0,8.018192855279795,3.2864834656788124,3.7398783940962326,3.225073847522459,3.5115672913231135,2.7071829376810532,-0.08800000000000001,-0.503,-0.038,-0.121,0.451,1.3355728696434807e-06,1.28916829736165e-06,1.349681936797591e-06,1.119010233193062e-06,1.386078412231624e-06,1.3077301262743824e-06,2.6279079554535936
HD38393,0,4.124306975207079,6252.259886718515,-0.1564467532701762,0.24486161536175083,0.24486161536175083,0.24486161536175083,0.24486161536175083,0.24486161536175083,0.24486161536175083,1.0,1.0,1.0,1.0,1.0,1.0,8.889331358345531,3.6976639076710587,4.152416426207762,3.628267704042898,3.7952186412748614,3.041889119717638,-0.126,-0.606,-0.075,-0.166,0.48700000000000004,9.470990730783493e-07,9.693807788371256e-07,9.632829935415232e-07,8.98200966672463e-07,9.851567259710669e-07,9.60468096533615e-07,2.37224838422655
HD38393,1,4.074835365060194,6342.478943409895,-0.08792122375804397,0.2383963857851205,0.2383963857851205,0.2383963857851205,0.2383963857851205,0.2383963857851205,0.2383963857851205,1.0,1.0,1.0,1.0,1.0,1.0,8.912918567130443,3.697761685769284,4.165447249808758,3.6385238046108097,3.784758800932921,3.0467733509998993,-0.111,-0.5720000000000001,-0.06,-0.15,0.48,9.340202678271413e-07,9.282865857705052e-07,9.411339772398634e-07,8.936294120005484e-07,9.870783676997113e-07,9.305800585931597e-07,2.3106419001113543
HD62644,0,3.644841253226393,5584.124035611697,0.02834264865725107,0.31929202947319657,0.31929202947319657,0.31929202947319657,0.31929202947319657,0.31929202947319657,0.31929202947319657,1.0,1.0,1.0,1.0,1.0,1.0,23.258505644147704,5.186407161047786,5.98427672193153,5.136577255485621,5.22903566489437,4.276607358001931,-0.217,-0.9540000000000001,-0.157,-0.285,0.581,2.61395502056637e-07,2.471441220415178e-07,2.589584413650898e-07,2.675757236776787e-07,2.8974638847739734e-07,2.5284467404756545e-07,4.275200145491182
HD62644,1,3.909978235257564,5328.188753314517,0.008467842796853293,0.32099080685839065,0.32099080685839065,0.32099080685839065,0.32099080685839065,0.32099080685839065,0.32099080685839065,1.0,1.0,1.0,1.0,1.0,1.0,23.73426288507978,5.186717512349535,5.98456985232523,5.136678150165282,5.229017711038091,4.276137063482602,-0.281,-1.131,-0.22399999999999998,-0.36,0.593,2.771877094645829e-07,2.908258684983034e-07,2.7541634755126434e-07,2.8671729468386316e-07,2.866857782537781e-07,2.853706048848152e-07,5.024579914117581
