level_0,level_1,logg,teff,feh,u_lambda_0,u_lambda_1,u_lambda_2,u_lambda_3,u_lambda_4,u_lambda_5,s_lambda_0,s_lambda_1,s_lambda_2,s_lambda_3,s_lambda_4,s_lambda_5,Dist,Hpmag_dr,BTmag_dr,VTmag_dr,BPmag_dr,RPmag_dr,BC_Hp,BC_BT,BC_VT,BC_BP,BC_RP,f_bol_Hp,f_bol_BT,f_bol_VT,f_bol_BP,f_bol_RP,f_bol_final,L_star_final
HD222368,0,4.571494639275559,5967.171629667271,-0.058592272360506674,0.25688095195284794,0.25688095195284794,0.25688095195284794,0.25688095195284794,0.25688095195284794,0.25688095195284794,1.0,1.0,1.0,1.0,1.0,1.0,13.643769518820239,4.236837806300684,4.706095129189201,4.182576123997852,4.2596219710939245,3.552312147089486,-0.158,-0.7509999999999999,-0.10300000000000001,-0.209,0.536,5.93643684790282e-07,6.653082716243101e-07,5.932401349726522e-07,6.092733555766439e-07,5.884859733132446e-07,6.366424368906988e-07,3.7042761739349084
HD222368,1,4.438852079917691,5935.650763797978,-0.11684801798987049,0.2378122814753944,0.2378122814753944,0.2378122814753944,0.2378122814753944,0.2378122814753944,0.2378122814753944,1.0,1.0,1.0,1.0,1.0,1.0,13.690116661934068,4.236695286500235,4.726978063512305,4.176763898561484,4.2610526825585735,3.5610024785522674,-0.165,-0.7559999999999999,-0.11,-0.215,0.534,5.975618457427941e-07,6.556465030967243e-07,6.002821304472528e-07,6.118428674426761e-07,5.848708588602419e-07,6.324126401551523e-07,3.704706992929351
HD222368,2,3.91879620658493,5989.506788712449,-0.06335568172113373,0.2513017000992136,0.2513017000992136,0.2513017000992136,0.2513017000992136,0.2513017000992136,0.2513017000992136,1.0,1.0,1.0,1.0,1.0,1.0,13.656472163887992,4.237654137897715,4.730936740340837,4.1567475491959165,4.259726542642117,3.561934156016943,-0.149,-0.7190000000000001,-0.094,-0.2,0.531,5.883006381465271e-07,6.313733964399084e-07,6.025068029965443e-07,6.041855824445108e-07,5.859860971127294e-07,6.14144293122556e-07,3.580028578818011
HD1581,0,3.838935757470985,5930.257900550478,-0.5603662151710591,0.26118451329546266,0.26118451329546266,0.26118451329546266,0.26118451329546266,0.26118451329546266,0.26118451329546266,1.0,1.0,1.0,1.0,1.0,1.0,8.608812707565026,4.343458309162091,4.897703759180511,4.281073228889108,4.368990683440749,3.5995246143802495,-0.185,-0.711,-0.13699999999999998,-0.23,0.5,5.516678195318692e-07,5.375012405847516e-07,5.590255828463449e-07,5.616486266281053e-07,5.824399137499171e-07,5.431678721635988e-07,1.2582287899904732
HD1581,1,3.67941728420179,5855.94817118107,-0.5850258169805411,0.3013037441148727,0.3013037441148727,0.3013037441148727,0.3013037441148727,0.3013037441148727,0.3013037441148727,1.0,1.0,1.0,1.0,1.0,1.0,8.612633542178857,4.344273653955949,4.910086067085964,4.289707177627531,4.3693441115896645,3.6003261698713076,-0.195,-0.7390000000000001,-0.146,-0.242,0.508,5.563543820456142e-07,5.452887626461e-07,5.592140876767401e-07,5.677057983779566e-07,5.777374320038845e-07,5.497150104059056e-07,1.2745255879336492
HD1581,2,4.118320042564328,5915.437501354856,-0.4069165744585164,0.28106546653598274,0.28106546653598274,0.28106546653598274,0.28106546653598274,0.28106546653598274,0.28106546653598274,1.0,1.0,1.0,1.0,1.0,1.0,8.60663792504416,4.344214758646696,4.909611003257266,4.2827118595644444,4.369917496943103,3.601362484825578,-0.18100000000000002,-0.7340000000000001,-0.13,-0.228,0.513,5.492563305769059e-07,5.430209351720812e-07,5.545953588035835e-07,5.601366321677672e-07,5.745343255333658e-07,5.45515093334011e-07,1.2630276620869811
HD30652,0,4.032933381634225,6417.907817679313,0.13534790871971628,0.23281688478200438,0.23281688478200438,0.23281688478200438,0.23281688478200438,0.23281688478200438,0.23281688478200438,1.0,1.0,1.0,1.0,1.0,1.0,7.994707333708635,3.286266367313222,3.7331356698256584,3.2234304792824626,3.527954949358833,2.703298718232789,-0.087,-0.552,-0.033,-0.126,0.489,1.334610163158786e-06,1.3570839265920352e-06,1.3455157411415978e-06,1.107334917989107e-06,1.3432024873054351e-06,1.3480944212187355e-06,2.6931743942495845
HD30652,1,4.298416229418173,6436.873531494996,-0.06760615101776948,0.2338379532030881,0.2338379532030881,0.2338379532030881,0.2338379532030881,0.2338379532030881,0.2338379532030881,1.0,1.0,1.0,1.0,1.0,1.0,8.01811636331108,3.2859958493997987,3.710123922440622,3.2284883151858264,3.5009993282235814,2.7038920111842963,-0.106,-0.55,-0.055999999999999994,-0.141,0.466,1.3585093595830627e-06,1.3836027153716314e-06,1.3679355890338234e-06,1.1509626839825175e-06,1.3712106262203125e-06,1.3735653730562037e-06,2.760152442157166
HD30652,2,4.384715899863254,6411.004469879628,-0.09039679153977338,0.24633306182859177,0.24633306182859177,0.24633306182859177,0.24633306182859177,0.24633306182859177,0.24633306182859177,1.0,1.0,1.0,1.0,1.0,1.0,8.032521004694878,3.2865528863223314,3.7395404412214273,3.2117981406339817,3.5252444607667104,2.709741684680401,-0.11199999999999999,-0.562,-0.061,-0.147,0.46799999999999997,1.3653368759604578e-06,1.361585124841297e-06,1.3955381661812358e-06,1.1317830626077682e-06,1.3613327755999193e-06,1.3630858252889613e-06,2.748944468424253
HD38393,0,4.160988471583744,6440.256005004479,-0.21230808105152843,0.19496681016058348,0.19496681016058348,0.19496681016058348,0.19496681016058348,0.19496681016058348,0.19496681016058348,1.0,1.0,1.0,1.0,1.0,1.0,8.911756676469917,3.6979108692625147,4.162541080672936,3.642692044597541,3.7955608894537503,3.043520823767596,-0.114,-0.539,-0.065,-0.14800000000000002,0.45399999999999996,9.364759464701596e-07,9.029101650275187e-07,9.418552367180545e-07,8.831543631189457e-07,1.0140342994178034e-06,9.163364776045752e-07,2.274681738407112
HD38393,1,4.371052614816945,6441.202519657657,-0.04994827148786235,0.24324008932690633,0.24324008932690633,0.24324008932690633,0.24324008932690633,0.24324008932690633,0.24324008932690633,1.0,1.0,1.0,1.0,1.0,1.0,8.903484474072316,3.697844755106667,4.1733262886044535,3.6469509139723297,3.792731190879639,3.044180076791242,-0.106,-0.552,-0.055,-0.141,0.467,9.296577039700944e-07,9.04753890329498e-07,9.295668102684652e-07,8.79768682775451e-07,1.0013570134058252e-06,9.147154157857365e-07,2.2664442206880127
HD38393,2,4.101367737694412,6415.154201073301,-0.04845703050812905,0.2176255678411939,0.2176255678411939,0.2176255678411939,0.2176255678411939,0.2176255678411939,0.2176255678411939,1.0,1.0,1.0,1.0,1.0,1.0,8.908134672444262,3.697938316365092,4.135599253310698,3.635780812728138,3.793775767004684,3.0456410444062043,-0.102,-0.5489999999999999,-0.051,-0.139,0.47200000000000003,9.261592062807181e-07,9.341600131512012e-07,9.357258979470434e-07,8.773051278875238e-07,9.954158617918639e-07,9.30959690403008e-07,2.3091037698930323
