dict_key,dict_star,dict_sequence,dict_period,index,MJD,TEL_PAIR,VIS2,FLAG,BASELINE,WAVELENGTH,LDD_FIT,LDD_PRED,e_LDD_PRED,u_LLD,C_SCALE,SEQ_ORDER,UDD_FIT,C_SCALE_UDD
"('zet_Tuc', 'bright', 104)",zet_Tuc,bright,104,0,"[58816.03364334 58816.03364334 58816.03364334 58816.03364334
 58816.03364334 58816.03364334 58816.0450589  58816.0450589
 58816.0450589  58816.0450589  58816.0450589  58816.0450589 ]",['1-2' '1-3' '1-4' '2-3' '2-4' '3-4' '1-2' '1-3' '1-4' '2-3' '2-4' '3-4'],"[[0.82828686 0.83414109 0.86270709 0.86880687 0.87937424 0.88442937]
 [0.60640298 0.62214334 0.65199875 0.66132379 0.6789548  0.69847258]
 [0.67864794 0.68260382 0.70510023 0.72060859 0.75163701 0.76777147]
 [0.99553058 0.98733415 1.00109805 0.99045727 1.00656941 1.01156283]
 [0.75778977 0.75870235 0.78231109 0.78585179 0.79177731 0.81853142]
 [0.82071078 0.83971028 0.85668367 0.86833201 0.87341758 0.87964189]
 [0.80280786 0.80864022 0.83285986 0.84090606 0.85759418 0.86637445]
 [0.60609562 0.61637756 0.6467614  0.65562074 0.67500166 0.6937825 ]
 [0.67573895 0.68698903 0.70488135 0.71175196 0.7463575  0.76296506]
 [0.98532074 0.96748943 0.98729046 0.97831696 1.00948521 1.00188316]
 [0.75578215 0.75883748 0.78270608 0.79316351 0.79558286 0.8290761 ]
 [0.83391724 0.84163893 0.85557095 0.87332056 0.88639967 0.90549684]]","[[False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]]","[ 87.49836402 129.23459895 116.78759768  53.47839155 101.05031252
  83.08873478  88.1012713  129.17879825 115.12326619  52.80929264
 100.53404727  83.75039975]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],1.179918484838349,,,,[1.06305203],[['zet_Tuc' 'bright' '104']],1.1557906033257577,[1.06281975]
"('zet_Tuc', 'bright', 104)",zet_Tuc,bright,104,1,"[58816.03390741 58816.03390741 58816.03390741 58816.03390741
 58816.03390741 58816.03390741 58816.04488225 58816.04488225
 58816.04488225 58816.04488225 58816.04488225 58816.04488225]",['1-2' '1-3' '1-4' '2-3' '2-4' '3-4' '1-2' '1-3' '1-4' '2-3' '2-4' '3-4'],"[[0.83427779 0.83698525 0.86665581 0.87027966 0.88160748 0.89080999]
 [0.61727824 0.62749423 0.65726588 0.66608664 0.68277013 0.70421573]
 [0.682797   0.68477217 0.70832197 0.72417421 0.75625532 0.77227653]
 [0.9945623  0.98392299 1.00049249 0.98633048 1.00659773 1.01349755]
 [0.76493385 0.76765139 0.78927219 0.79244813 0.79559774 0.82373219]
 [0.82433233 0.84425271 0.86000156 0.87076423 0.87617495 0.8833719 ]
 [0.7997975  0.80386714 0.83334504 0.83888259 0.85512081 0.8666561 ]
 [0.60059339 0.61237532 0.64213362 0.64879661 0.66935256 0.68831466]
 [0.66673397 0.6797419  0.69809049 0.70623836 0.74088255 0.75770851]
 [0.98366738 0.9669947  0.98562897 0.97674075 1.00611471 1.0039188 ]
 [0.76768812 0.77017794 0.78313451 0.79551454 0.79506165 0.82762471]
 [0.84061146 0.84306486 0.85475065 0.87068629 0.8864987  0.90831836]]","[[False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]]","[ 87.51363781 129.23523798 116.75109313  53.46380601 101.03979843
  83.10524424  88.09298615 129.18114038 115.15040648  52.82027678
 100.54304179  83.74108055]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],1.1817350909265283,,,,[1.06583815],[['zet_Tuc' 'bright' '104']],1.1572041993933175,[1.06560465]
"('zet_Tuc', 'bright', 104)",zet_Tuc,bright,104,2,"[58816.03355483 58816.03355483 58816.03355483 58816.03355483
 58816.03355483 58816.03355483 58816.04488204 58816.04488204
 58816.04488204 58816.04488204 58816.04488204 58816.04488204]",['1-2' '1-3' '1-4' '2-3' '2-4' '3-4' '1-2' '1-3' '1-4' '2-3' '2-4' '3-4'],"[[0.82914473 0.83429286 0.86259484 0.86879538 0.87944584 0.8916661 ]
 [0.61142728 0.62077168 0.65165654 0.65857874 0.6754476  0.69433538]
 [0.67718936 0.67890453 0.70180064 0.7227383  0.74913631 0.76845611]
 [0.98991909 0.97584589 0.9928182  0.97942072 0.9964316  1.00624476]
 [0.76217477 0.76093104 0.78224906 0.78564756 0.78937376 0.81919608]
 [0.81876367 0.83510407 0.85386587 0.86115666 0.8681576  0.87763313]
 [0.80231627 0.81027732 0.83418145 0.84009359 0.85555853 0.86785606]
 [0.60544025 0.61461863 0.64456388 0.65045886 0.6711772  0.68971591]
 [0.67129925 0.6808402  0.69927708 0.71080517 0.74403698 0.76210692]
 [0.98599698 0.96622365 0.98515636 0.97555203 1.00808644 1.00647715]
 [0.76372026 0.76236704 0.78268409 0.79419239 0.79156901 0.83023878]
 [0.82892723 0.83480252 0.85280887 0.86935933 0.88459443 0.90361025]]","[[False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]]","[ 87.4938116  129.2352433  116.80040788  53.48357159 101.0541495
  83.08354426  88.09261293 129.18054714 115.14995763  52.82005489
 100.54280727  83.74085988]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],1.18585695836955,,,,[1.06232783],[['zet_Tuc' 'bright' '104']],1.1568534121628464,[1.06206858]
"('bet_Hyi', 'faint', 106)",bet_Hyi,faint,106,0,"[59468.17390299 59468.17390299 59468.17390299 59468.17390299
 59468.17390299 59468.17390299 59468.183432   59468.183432
 59468.183432   59468.183432   59468.183432   59468.183432  ]",['1-2' '1-3' '1-4' '2-3' '2-4' '3-4' '1-2' '1-3' '1-4' '2-3' '2-4' '3-4'],"[[0.39850954 0.4226493  0.45464706 0.47758614 0.50521898 0.52330571]
 [0.06698539 0.08108093 0.10008402 0.11787887 0.13762177 0.15552218]
 [0.12001849 0.13688401 0.15751019 0.17736446 0.20377556 0.2223912 ]
 [0.75192066 0.74617842 0.77310037 0.77991738 0.81362145 0.8178877 ]
 [0.37770372 0.4021415  0.43966533 0.45997419 0.47509304 0.49918008]
 [0.59370756 0.61246783 0.63073438 0.64940909 0.67205127 0.69075822]
 [0.3912043  0.41353035 0.44114418 0.46315489 0.49228908 0.51552052]
 [0.06510864 0.07887267 0.0975876  0.11454789 0.13364375 0.15161855]
 [0.12357208 0.14282568 0.16262495 0.18289935 0.20935737 0.22940693]
 [0.71957293 0.71392228 0.74613651 0.75206457 0.7861838  0.79347867]
 [0.38141296 0.40614771 0.44408463 0.46252802 0.47884795 0.50276703]
 [0.55722417 0.58508998 0.60920192 0.6359144  0.66303599 0.68923322]]","[[False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]]","[ 81.59551348 128.15304435 115.21994665  53.71790353  81.40000371
  63.99915533  82.10418204 128.34977998 114.66152389  53.49912566
  81.53301475  64.78411463]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],2.3745486305236474,,,,[1.0250361],[['bet_Hyi' 'faint' '106']],2.308274585183746,[1.01905483]
"('bet_Hyi', 'faint', 106)",bet_Hyi,faint,106,1,"[59468.17363834 59468.17363834 59468.17363834 59468.17363834
 59468.17363834 59468.17363834 59468.18343188 59468.18343188
 59468.18343188 59468.18343188 59468.18343188 59468.18343188]",['1-2' '1-3' '1-4' '2-3' '2-4' '3-4' '1-2' '1-3' '1-4' '2-3' '2-4' '3-4'],"[[0.40082861 0.42493411 0.4580904  0.48124451 0.5079789  0.52673332]
 [0.06949855 0.08388371 0.10354744 0.12145077 0.14103682 0.15930745]
 [0.12199413 0.13747131 0.15962575 0.18025974 0.20734588 0.22676838]
 [0.74983116 0.74912211 0.77456446 0.7857073  0.81513051 0.82172776]
 [0.38087958 0.40635192 0.44220985 0.46393028 0.47985024 0.50420822]
 [0.5940363  0.61408908 0.63449847 0.65515854 0.67761205 0.69587773]
 [0.39341258 0.41540777 0.44445699 0.46676039 0.49512536 0.51948292]
 [0.06770461 0.08195388 0.10133286 0.11875289 0.13819394 0.15662171]
 [0.12598396 0.14367798 0.16525771 0.18678369 0.21343974 0.23377415]
 [0.72280982 0.72399031 0.75362853 0.76376503 0.79411738 0.80081328]
 [0.38165621 0.40907077 0.44703451 0.46821393 0.48543565 0.50974689]
 [0.56306348 0.59060462 0.61791545 0.64456985 0.66976549 0.6964534 ]]","[[False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]]","[ 81.58065016 128.14657737 115.2343497   53.7235024   81.39513951
  63.9763279   82.10380168 128.34918681 114.66105938  53.49889973
  81.53276045  64.78388015]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],2.3754466852523484,,,,[1.03618908],[['bet_Hyi' 'faint' '106']],2.3087179546085608,[1.03053187]
"('bet_Hyi', 'faint', 106)",bet_Hyi,faint,106,2,"[59468.17363908 59468.17363908 59468.17363908 59468.17363908
 59468.17363908 59468.17363908 59468.18308024 59468.18308024
 59468.18308024 59468.18308024 59468.18308024 59468.18308024]",['1-2' '1-3' '1-4' '2-3' '2-4' '3-4' '1-2' '1-3' '1-4' '2-3' '2-4' '3-4'],"[[0.3952684  0.41768601 0.450072   0.4734832  0.50137316 0.52017393]
 [0.06541449 0.07938927 0.09803991 0.11532615 0.13461093 0.15249759]
 [0.11740076 0.1340284  0.1550556  0.17520444 0.20140462 0.22088719]
 [0.74519246 0.74371901 0.76915104 0.78027305 0.8094016  0.81508511]
 [0.37246178 0.40107522 0.43712628 0.45658236 0.47110925 0.49574368]
 [0.5868855  0.60507963 0.62183614 0.6421259  0.66473806 0.68425867]
 [0.38676639 0.40824133 0.43640132 0.45955404 0.48845991 0.5126109 ]
 [0.06378755 0.07783251 0.09607442 0.11289545 0.13215688 0.14977103]
 [0.12103484 0.13998944 0.16054843 0.1822102  0.20778019 0.22837906]
 [0.71546204 0.71502633 0.74729253 0.75665141 0.78672165 0.79485974]
 [0.3693461  0.40182416 0.44139423 0.46065049 0.47924362 0.50216332]
 [0.5571284  0.58250772 0.60635647 0.63297364 0.65641951 0.68123872]]","[[False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]]","[ 81.58116349 128.1472324  115.2346938   53.72368189  81.3954388
  63.97676276  82.08554964 128.34271998 114.68287861  53.50747309
  81.5290895   64.75580586]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],2.3725623179303543,,,,[1.0263195],[['bet_Hyi' 'faint' '106']],2.313448816454415,[1.02119163]
"('HD141004', 'faint', 105)",HD141004,faint,105,0,"[59671.31703266 59671.31703266 59671.31703266 59671.31703266
 59671.31703266 59671.31703266 59671.33670949 59671.33670949
 59671.33670949 59671.33670949 59671.33670949 59671.33670949]",['1-2' '1-3' '1-4' '2-3' '2-4' '3-4' '1-2' '1-3' '1-4' '2-3' '2-4' '3-4'],"[[0.84920839 0.86331171 0.87696556 0.89473579 0.90559855 0.90965365]
 [0.66308064 0.67971108 0.70513277 0.7061803  0.72534414 0.74368001]
 [0.68601739 0.71502788 0.72782046 0.76190867 0.77853105 0.79260573]
 [1.00211492 0.98533383 0.98671153 0.97985066 1.01193017 0.99197564]
 [0.73271805 0.75570819 0.77103829 0.78244554 0.79682429 0.80939503]
 [0.80974021 0.83689425 0.8454007  0.86430187 0.8732089  0.87545115]
 [0.84268631 0.85884084 0.87888719 0.89390089 0.90658899 0.91238464]
 [0.66113539 0.68171207 0.70359294 0.70881556 0.72514422 0.74128685]
 [0.66664053 0.68715121 0.70978518 0.73287933 0.75808499 0.77999385]
 [1.00003002 0.97569869 0.98272454 0.97208066 1.00927191 0.99283255]
 [0.734502   0.76282117 0.77798898 0.79652609 0.8033406  0.82065264]
 [0.81840218 0.84333634 0.84873597 0.86634371 0.87074034 0.87826717]]","[[False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]]","[ 88.75724058 129.22163147 121.55086778  54.83934519 112.23132861
  90.80032672  86.17720412 128.47614329 125.99808183  56.59997243
 113.37160569  88.42135133]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],1.0759636840498508,,,,[1.05686619],[['HD141004' 'faint' '105']],1.0526908209146255,[1.0566952]
"('HD141004', 'faint', 105)",HD141004,faint,105,1,"[59671.31738574 59671.31738574 59671.31738574 59671.31738574
 59671.31738574 59671.31738574 59671.33662168 59671.33662168
 59671.33662168 59671.33662168 59671.33662168 59671.33662168]",['1-2' '1-3' '1-4' '2-3' '2-4' '3-4' '1-2' '1-3' '1-4' '2-3' '2-4' '3-4'],"[[0.86003692 0.87095103 0.88431753 0.90280102 0.91317914 0.91559522]
 [0.67747931 0.68727937 0.71242687 0.72041901 0.73848207 0.75336861]
 [0.7093531  0.73165038 0.74226555 0.76616277 0.78391486 0.79721183]
 [1.00442112 0.99766031 0.99850822 0.99003914 1.01875696 1.00187945]
 [0.74186445 0.76495796 0.79006061 0.79151615 0.80256    0.81852737]
 [0.83083442 0.83947642 0.8457475  0.86843191 0.87270594 0.88433929]
 [0.85418682 0.86333721 0.88409017 0.89711139 0.91186009 0.91677359]
 [0.66547247 0.67550767 0.70007866 0.70997828 0.72773673 0.74149695]
 [0.68802426 0.6999515  0.7152888  0.73922177 0.75633027 0.78065563]
 [0.98911102 0.97447915 0.98003246 0.97077411 1.00242431 0.99437861]
 [0.74629489 0.77142838 0.79257964 0.79579347 0.80501367 0.8246093 ]
 [0.84092069 0.84516577 0.8497383  0.86700158 0.8711352  0.88629028]]","[[False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]]","[ 88.72095944 129.22559757 121.64036083  54.87653728 112.24760205
  90.75656828  86.19125339 128.48381191 125.98063326  56.59349521
 113.36549062  88.43165472]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],1.0616875760020141,,,,[1.05786587],[['HD141004' 'faint' '105']],1.038098020964517,[1.05770025]
"('HD141004', 'faint', 105)",HD141004,faint,105,2,"[59671.3172976  59671.3172976  59671.3172976  59671.3172976
 59671.3172976  59671.3172976  59671.33679811 59671.33679811
 59671.33679811 59671.33679811 59671.33679811 59671.33679811]",['1-2' '1-3' '1-4' '2-3' '2-4' '3-4' '1-2' '1-3' '1-4' '2-3' '2-4' '3-4'],"[[0.85949534 0.86527157 0.88308662 0.90012026 0.90772996 0.91391064]
 [0.67114943 0.67969852 0.70759821 0.71660196 0.73356649 0.74716365]
 [0.71221221 0.72602947 0.74509675 0.76292631 0.78676961 0.7943618 ]
 [0.99317654 0.99309905 0.99503323 0.98380611 1.01395082 1.00208504]
 [0.74489673 0.76692759 0.78595683 0.78775424 0.80046533 0.81568186]
 [0.82777438 0.83534735 0.84317567 0.86722456 0.87103029 0.87846321]
 [0.85249234 0.85795222 0.88058754 0.89318557 0.90602692 0.9155057 ]
 [0.66066403 0.67196303 0.69887615 0.70888392 0.72519325 0.73746226]
 [0.68960768 0.6955501  0.71790152 0.73587811 0.76184359 0.77844718]
 [0.98315136 0.97267968 0.97987318 0.96787496 0.99970135 0.99518503]
 [0.74573623 0.77023338 0.78596235 0.79272663 0.80119415 0.820307  ]
 [0.83522206 0.83925809 0.84547103 0.86562313 0.86798419 0.88172435]]","[[False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]]","[ 88.73014454 129.22491119 121.61829243  54.86739179 112.2435343
  90.76745141  86.16278746 128.4682766  126.01599027  56.60662056
 113.37788899  88.41078319]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],1.0577229279957787,,,,[1.05465432],[['HD141004' 'faint' '105']],1.0394836825169065,[1.05452648]
"('HR_2998', 'faint', 104)",HR_2998,faint,104,0,"[58812.19140998 58812.19140998 58812.19140998 58812.19140998
 58812.19140998 58812.19140998 58812.22242196 58812.22242196
 58812.22242196 58812.22242196 58812.22242196 58812.22242196]",['1-2' '1-3' '1-4' '2-3' '2-4' '3-4' '1-2' '1-3' '1-4' '2-3' '2-4' '3-4'],"[[0.97728453 0.982276   0.98345074 0.97746545 0.98915985 0.98566572]
 [0.84331167 0.85416921 0.85517234 0.85269748 0.85977523 0.86051832]
 [0.78426339 0.79317483 0.80491845 0.81470994 0.83211733 0.85190284]
 [1.02880108 1.0179292  1.02875906 1.01958412 1.02114245 1.04780598]
 [0.93047352 0.9233811  0.92748202 0.93068629 0.93355753 0.94601869]
 [1.01248872 1.00380227 1.01805274 1.01634206 1.00987213 1.04077048]
 [0.95935201 0.95648986 0.9678157  0.97370857 0.98995233 0.98824695]
 [0.79619119 0.79371411 0.80097889 0.80266984 0.81044115 0.81322551]
 [0.75624416 0.76871784 0.78067603 0.78450449 0.80888362 0.81940192]
 [1.05127753 1.02724127 1.03408522 1.03282673 1.04897437 1.04275293]
 [0.90501801 0.88888261 0.9202004  0.9145557  0.9124691  0.9239025 ]
 [0.99792767 0.99566641 1.00035992 0.99943441 1.0004154  1.01059327]]","[[False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]]","[ 63.23946482 104.41876738 118.20968024  57.09980608  89.10573719
  40.39794873  71.44744538 112.29029125 121.68195501  57.61534763
  89.06982704  42.13186548]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],0.9924464156690582,,,,[1.06954864],[['HR_2998' 'faint' '104']],0.9672021451334123,[1.06947764]
