index,STAR,HD,PERIOD,SEQUENCE,VIS2,e_VIS2,BASELINE,WAVELENGTH,LDD_FIT,e_LDD_FIT,C_SCALE,e_C_SCALE,SEQ_ORDER,U_LAMBDA,e_U_LAMBDA,S_LAMBDA,e_S_LAMBDA,UDD_FIT,e_UDD_FIT,C_SCALE_UDD,e_C_SCALE_UDD
0,HD124850,HD124850,105,bright,"[[0.85678199 0.86904942 0.8864652  0.88833361 0.90641215 0.89969985]
 [0.63967489 0.64744733 0.67586675 0.68664173 0.70765244 0.72324293]
 [0.60529949 0.61735389 0.6375522  0.65991321 0.6907361  0.7091176 ]
 [0.9688897  0.96623223 0.96794619 0.95770744 0.98890797 0.97957559]
 [0.63472308 0.64595107 0.66791836 0.68930392 0.70135588 0.73276033]
 [0.7827984  0.7954052  0.807399   0.82252492 0.83903462 0.84741978]
 [0.84850931 0.86465728 0.87703838 0.89053616 0.90660993 0.9080995 ]
 [0.65666077 0.66644636 0.69180559 0.6965525  0.71491691 0.72664205]
 [0.60324751 0.61924189 0.64045296 0.66557202 0.69273271 0.71966993]
 [0.97005584 0.97085505 0.96871963 0.95739177 0.9915966  0.99072226]
 [0.64718327 0.65960912 0.68216665 0.69612952 0.71111007 0.737491  ]
 [0.77093766 0.78326042 0.7988737  0.81933825 0.83868427 0.86291121]]","[[0.00087502 0.00339935 0.00263291 0.00347594 0.00272215 0.00392244]
 [0.00380152 0.00012022 0.00188775 0.00246459 0.00372148 0.00336331]
 [0.00391975 0.00465945 0.00440284 0.00320584 0.00410894 0.00114685]
 [0.00286395 0.00560589 0.00327682 0.00429043 0.00329959 0.00407219]
 [0.00136568 0.00215697 0.00142999 0.00176296 0.00044403 0.00124543]
 [0.00224791 0.00324299 0.0032849  0.00348718 0.0015412  0.00150921]
 [0.00652118 0.00780629 0.00511195 0.00552194 0.00433481 0.0045873 ]
 [0.00233002 0.00138313 0.00148156 0.00204162 0.0027785  0.00190751]
 [0.00121163 0.00199805 0.00230671 0.00225358 0.00203776 0.0007576 ]
 [0.00190196 0.00575416 0.00459782 0.00541523 0.00437982 0.00609144]
 [0.00428004 0.00429366 0.00082191 0.00236249 0.00095366 0.00341798]
 [0.00242819 0.00146456 0.00085617 0.00188165 0.00120942 0.00081734]]","[ 84.68548203 124.86757277 132.32279165  58.21228865 127.12996055
  96.64269506  82.81726137 122.56872395 132.41397856  58.05747625
 127.63107695  96.1083316 ]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],1.1481559010148006,0.0050946264186703715,[1.06407183],[0.00489269],[['HD124850' 'bright' '105']],,,,,1.1248999829960302,0.00654976557507531,[1.06386022],[0.00490157]
1,HD124850,HD124850,105,faint,"[[0.91144315 0.91860521 0.92356267 0.93175832 0.95494878 0.95536039]
 [0.70070366 0.70246429 0.73111396 0.73595288 0.74983091 0.76266237]
 [0.65124862 0.66024059 0.68587113 0.69987425 0.74017204 0.75901946]
 [1.03518274 1.0199529  1.02733923 1.0220952  1.05374872 1.04430539]
 [0.67113297 0.69755771 0.71189317 0.72841195 0.74516088 0.76872312]
 [0.81044917 0.81608906 0.83699962 0.86069271 0.86922076 0.88290992]
 [0.90389419 0.91585056 0.91476716 0.93521449 0.95457179 0.9607649 ]
 [0.70118273 0.71056635 0.7323985  0.73927844 0.75051133 0.76088339]
 [0.643155   0.65487542 0.67444716 0.6937721  0.72906482 0.75487045]
 [1.03200971 1.01469469 1.02186866 1.01909202 1.04835576 1.0523577 ]
 [0.66250228 0.68860325 0.70596384 0.72376926 0.7412029  0.76266893]
 [0.80599387 0.81276605 0.83231366 0.86044583 0.87545488 0.89632196]]","[[0.00680178 0.00680277 0.00364442 0.00420238 0.00423182 0.00225317]
 [0.00236067 0.00167504 0.00139813 0.00274763 0.00227321 0.00151077]
 [0.00485367 0.00312638 0.00568137 0.00272695 0.00492481 0.00230238]
 [0.00693218 0.0025468  0.00751565 0.0032253  0.01122156 0.003367  ]
 [0.00297926 0.00434093 0.00459175 0.00216546 0.00378284 0.00230367]
 [0.002888   0.0053585  0.00586685 0.00301678 0.00922924 0.01207908]
 [0.00223801 0.00210025 0.00332228 0.00050006 0.00159599 0.00114741]
 [0.00411871 0.00287945 0.00183571 0.00220925 0.00117421 0.00038027]
 [0.00331082 0.00262047 0.00213571 0.00164064 0.00242997 0.00074401]
 [0.00450295 0.00181519 0.00427104 0.00087859 0.00659387 0.00197765]
 [0.00388311 0.00104433 0.0022032  0.00191916 0.00190072 0.00038989]
 [0.00416956 0.00578118 0.00637737 0.00197678 0.01313023 0.01347428]]","[ 83.67012806 123.64158353 132.41135127  58.14615919 127.40665278
  96.33724091  81.4060584  120.72083196 132.30012627  57.8561403
 127.98824466  95.77616707]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],1.1378067184195866,0.003645010326662435,[1.10905658],[0.00099935],[['HD124850' 'faint' '105']],,,,,1.114709289623792,0.0025363767528472467,[1.10880694],[0.00098306]
2,HD141004,HD141004,105,bright,"[[0.86368541 0.87483752 0.88910146 0.89562279 0.90685391 0.90492992]
 [0.65446947 0.67293944 0.69905218 0.70987521 0.7254498  0.73891409]
 [0.67142491 0.68042097 0.70197043 0.71115365 0.74294374 0.75799552]
 [0.9886704  0.98248537 0.98948123 0.9750526  1.00617548 1.00464906]
 [0.73372172 0.7408297  0.7595756  0.76616543 0.77473563 0.79715749]
 [0.81764653 0.83499523 0.85033836 0.85667729 0.86295748 0.87457641]
 [0.87335869 0.88171952 0.89652617 0.90930765 0.92276523 0.92380063]
 [0.66964896 0.68932407 0.71115753 0.72329716 0.73984454 0.74859269]
 [0.67306356 0.68687805 0.70443562 0.72344319 0.75147289 0.7701026 ]
 [0.99591017 0.98642471 0.99634521 0.98222    1.01920778 1.01309545]
 [0.74809265 0.75276145 0.77121974 0.77569692 0.78823778 0.81384351]
 [0.84779076 0.86118745 0.87261093 0.88994738 0.89566909 0.91919513]]","[[0.00159562 0.00348916 0.00165042 0.00218882 0.00182518 0.0023236 ]
 [0.00190948 0.00133062 0.0004799  0.00115239 0.00265738 0.00261267]
 [0.00454302 0.00615783 0.00535685 0.00585294 0.00587895 0.00656868]
 [0.00587549 0.00491854 0.00530777 0.00597367 0.00527038 0.00388184]
 [0.00147607 0.00433934 0.00389613 0.00097252 0.003085   0.00524125]
 [0.00490072 0.0075157  0.00777993 0.00663977 0.00719995 0.00586453]
 [0.00375335 0.00437183 0.00585536 0.00556919 0.00599582 0.00331541]
 [0.00230463 0.00314763 0.00353092 0.00394131 0.0037428  0.00179374]
 [0.00028513 0.0006567  0.00281022 0.00323087 0.00178531 0.00156825]
 [0.00405516 0.00596635 0.00829617 0.00616989 0.00590624 0.00450713]
 [0.00211402 0.00165794 0.00280898 0.00032543 0.00361134 0.00630084]
 [0.00437132 0.00327761 0.00132282 0.00097101 0.00307499 0.00530391]]","[ 86.42449477 128.60717031 125.6835068   56.48255283 113.26383066
  88.60571831  84.69929639 127.54147119 127.59210356  57.17105301
 114.00878818  87.43616292]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],1.092750835307564,0.006206389389412824,[1.06980963],[0.00394283],[['HD141004' 'bright' '105']],,,,,1.0704452221042902,0.0054118105537366784,[1.06963706],[0.00394699]
3,HD141004,HD141004,105,faint,"[[0.85699244 0.86639986 0.88202772 0.90000439 0.90849411 0.91592958]
 [0.67208721 0.6819034  0.70639359 0.71497818 0.73299116 0.74780251]
 [0.70142816 0.72610266 0.74064266 0.76570177 0.7853894  0.80078407]
 [1.00091617 0.99506136 0.99273981 0.98624141 1.01700788 0.99957075]
 [0.7421243  0.76573401 0.78176791 0.78855865 0.79857999 0.81622229]
 [0.82087535 0.8363438  0.84662206 0.86686917 0.87194039 0.87783637]
 [0.84986256 0.86235395 0.8837283  0.89761767 0.90931668 0.91911622]
 [0.66723135 0.68096892 0.70390252 0.71339983 0.72994855 0.74407649]
 [0.68049607 0.69919783 0.717701   0.73824114 0.7637317  0.78671563]
 [0.99361762 0.98096268 0.98485957 0.97778523 1.01092389 0.99805069]
 [0.74802324 0.77120487 0.78651191 0.79779963 0.8033707  0.8253857 ]
 [0.82695635 0.84178784 0.84952622 0.86802285 0.87057818 0.88209695]]","[[0.0034683  0.00234319 0.00230417 0.00144743 0.0008846  0.00239936]
 [0.0029587  0.00347581 0.00191779 0.00152992 0.00212018 0.00190996]
 [0.00314325 0.00518082 0.00292446 0.00507289 0.00441846 0.00369576]
 [0.0005741  0.00122162 0.00217438 0.00176792 0.00087809 0.00187565]
 [0.00449772 0.00511227 0.00098256 0.00104699 0.00129945 0.00261826]
 [0.00328377 0.00299252 0.00259662 0.00132793 0.00110207 0.00046318]
 [0.003156   0.0043631  0.00454923 0.00517479 0.00448803 0.00327286]
 [0.00619842 0.00595992 0.0038454  0.00391021 0.00501921 0.00438989]
 [0.00304938 0.00359191 0.00448153 0.00220915 0.00323723 0.00264934]
 [0.00333187 0.00559263 0.00506731 0.0048518  0.00526949 0.003241  ]
 [0.00209013 0.0033848  0.00481142 0.00249902 0.00313673 0.0039691 ]
 [0.00334987 0.00335412 0.00169372 0.00172772 0.00215677 0.00319265]]","[ 88.74219994 129.2235238  121.58842698  54.85497425 112.23812096
  90.78203695  86.1201366  128.4446878  126.06837954  56.62601826
 113.39644006  88.37973837]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],1.0633210684224323,0.0038550525228645896,[1.05795255],[0.00160375],[['HD141004' 'faint' '105']],,,,,1.0416693950729894,0.004038195933754895,[1.05779884],[0.00161398]
4,HD142860,HD142860,105,faint,"[[0.87850677 0.89044108 0.90897054 0.91723613 0.9306817  0.92384433]
 [0.63395366 0.66177131 0.6848411  0.68802244 0.70405133 0.71771699]
 [0.60089462 0.60906877 0.63853946 0.65824839 0.68851198 0.70765028]
 [1.00213962 0.98251368 1.00443915 0.98020392 1.01370659 1.01220217]
 [0.74818238 0.76544413 0.7809836  0.79095589 0.78802835 0.81556093]
 [0.86390614 0.88042463 0.89956446 0.90930118 0.90843727 0.91349643]
 [0.86499902 0.88208697 0.90633889 0.91496756 0.92785963 0.92525344]
 [0.66003728 0.69145791 0.70826865 0.7127718  0.73265191 0.74124915]
 [0.59488002 0.61245264 0.64057409 0.66055868 0.6906444  0.70818326]
 [0.96677794 0.96359379 0.9805525  0.96285004 0.98917836 0.98846273]
 [0.73316612 0.75894611 0.78051126 0.78984622 0.79174647 0.81925669]
 [0.84669293 0.86600824 0.88315548 0.90109124 0.89758139 0.91387084]]","[[0.01118443 0.01007635 0.00890358 0.00571977 0.0052404  0.00609911]
 [0.01282565 0.00866729 0.00696508 0.0068071  0.00727771 0.00571571]
 [0.00904674 0.0089018  0.00792483 0.0096477  0.00841667 0.00871896]
 [0.00587908 0.00244653 0.00599984 0.00228965 0.00742184 0.00575021]
 [0.00497649 0.00571516 0.00581362 0.0080699  0.00820405 0.00618459]
 [0.00673893 0.00807938 0.00835198 0.01042501 0.00646623 0.00570449]
 [0.01075938 0.00812227 0.00603516 0.00488299 0.0036729  0.00366675]
 [0.00814306 0.00670831 0.00610061 0.00753989 0.00813256 0.00716763]
 [0.00717974 0.00521091 0.00414415 0.00561937 0.00396544 0.00400189]
 [0.00609902 0.00747454 0.00393069 0.00163247 0.0059625  0.00621448]
 [0.00775103 0.00809407 0.00661025 0.00608775 0.0059241  0.00577666]
 [0.0087217  0.00441942 0.00375255 0.00384793 0.00637133 0.00472033]]","[ 77.61701014 123.47954204 128.27733347  57.61701169 105.94670447
  75.97454881  74.92210092 121.05127161 129.66007526  57.96631096
 107.23233174  74.88128526]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],1.1702765798689547,0.010165040595441146,[1.0698278],[0.00310214],[['HD142860' 'faint' '105']],,,,,1.1520868075898025,0.009775729700272537,[1.06968531],[0.00310783]
5,HR_2998,HD62644,104,bright,"[[0.96677349 0.96862065 0.98578711 0.98463252 1.0034608  1.00652162]
 [0.81752593 0.81340299 0.83148631 0.83626401 0.84212764 0.85603951]
 [0.7019217  0.70594138 0.72811    0.74080377 0.7674352  0.79791026]
 [1.02493182 1.01711182 1.02748145 1.03478179 1.04223539 1.05215009]
 [0.73993446 0.74637964 0.77020309 0.78180771 0.78719604 0.81212262]
 [0.87643064 0.88246473 0.91849277 0.91684862 0.93102948 0.95249227]
 [0.95731444 0.94868392 0.96045189 0.96345768 0.98030198 0.98985565]
 [0.79103666 0.78506865 0.798362   0.80046153 0.81404399 0.8319522 ]
 [0.69673309 0.70609327 0.72805028 0.73543892 0.76396752 0.78824465]
 [1.01592658 0.99667422 1.01408402 1.00658101 1.0323084  1.03289618]
 [0.74548937 0.75393766 0.78231862 0.78409917 0.79373721 0.80965454]
 [0.88192671 0.88427518 0.90718651 0.91347005 0.93156894 0.95624125]]","[[0.00118964 0.0013969  0.00104688 0.00103299 0.00293462 0.00243831]
 [0.00316068 0.0021286  0.00129597 0.00113729 0.00145155 0.00191611]
 [0.00403235 0.00487356 0.00445046 0.00545926 0.00487809 0.0052042 ]
 [0.00366867 0.00421314 0.00246258 0.00347196 0.00359994 0.0022792 ]
 [0.00435534 0.00784432 0.00864144 0.00833912 0.00847604 0.00749769]
 [0.00636389 0.00621207 0.00611176 0.00396764 0.00421569 0.00604371]
 [0.00185736 0.00024224 0.00362541 0.00352617 0.00197265 0.00274508]
 [0.00768407 0.00345889 0.0028424  0.00234676 0.00276385 0.00409403]
 [0.00274509 0.00326722 0.00456971 0.00347422 0.00166937 0.00380439]
 [0.00465447 0.00592098 0.00440937 0.00528707 0.00459243 0.00371846]
 [0.00057835 0.00350292 0.00221141 0.00513915 0.00402523 0.00505099]
 [0.00250828 0.00239427 0.00157571 0.00312627 0.00291663 0.00487337]]","[ 68.25687579 109.15192564 132.16719543  57.40555335 122.08451896
  84.20681397  72.94034333 113.79620296 132.33938831  57.72135435
 123.02217935  87.21267393]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],1.033370014980537,0.0072837918971988165,[1.08626351],[0.00146482],[['HR_2998' 'bright' '104']],,,,,1.0094493066132808,0.005994198305374799,[1.08610302],[0.00147106]
6,HR_2998,HD62644,104,faint,"[[0.97036005 0.97773658 0.98075501 0.97641768 0.98884275 0.98690203]
 [0.8408446  0.85771649 0.85827141 0.85592093 0.86161518 0.86463213]
 [0.78760283 0.79677466 0.81370693 0.81788962 0.83379096 0.85619243]
 [1.01650883 1.02538028 1.01571318 1.02536507 1.03405489 1.03839389]
 [0.93300141 0.92706349 0.93419525 0.9372592  0.93992967 0.95120884]
 [1.00814991 1.00619348 1.01234481 1.01157126 1.00932471 1.04040998]
 [0.96353609 0.95654904 0.97537642 0.97322807 0.98386275 0.98422141]
 [0.80204294 0.80205622 0.80919469 0.80904779 0.81620567 0.81917417]
 [0.76378633 0.77813575 0.79436566 0.79557486 0.8206298  0.82748756]
 [1.03451744 1.02854372 1.02916197 1.04043608 1.05329425 1.04007168]
 [0.91836749 0.90295549 0.92874352 0.92459473 0.92345875 0.92988899]
 [0.99377132 0.99679152 1.00239504 1.00263032 1.00586837 1.01375253]]","[[0.00216319 0.0021136  0.00232775 0.00283413 0.00396624 0.00395287]
 [0.01148419 0.00594379 0.00395912 0.00550917 0.00582947 0.00410307]
 [0.00672517 0.00690302 0.00677275 0.00721559 0.00605333 0.00803446]
 [0.01562199 0.00544524 0.00895004 0.00370425 0.00474447 0.00477848]
 [0.00730314 0.00492803 0.00652542 0.0064459  0.00567283 0.00553919]
 [0.00374009 0.00209604 0.00315643 0.00310053 0.00258574 0.0040234 ]
 [0.00561352 0.00450547 0.00409224 0.00391804 0.00486062 0.00479068]
 [0.01040773 0.00925608 0.00602815 0.00639841 0.00603137 0.00526475]
 [0.0092082  0.00794259 0.00793319 0.00721591 0.00621604 0.00719346]
 [0.01229153 0.00345342 0.00444888 0.00302488 0.00088085 0.00439566]
 [0.00838846 0.00567732 0.00603908 0.00587134 0.00550522 0.00422601]
 [0.00233941 0.0032707  0.00135619 0.00248944 0.00080916 0.00205184]]","[ 63.28100582 104.45653221 118.2253578   57.10198031  89.10604174
  40.40714923  71.41168965 112.25477114 121.66594091  57.61307149
  89.07077135  42.12463764]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],0.9674085259817019,0.015799108128353927,[1.06567069],[0.00103485],[['HR_2998' 'faint' '104']],,,,,0.9452514602812642,0.013632674255271269,[1.0656143],[0.00103624]
7,alf_CMi,HD61421,106,bright,"[[0.01555731 0.01484915 0.01429532 0.0125365  0.01056227 0.00867837]
 [0.3649203  0.38307267 0.40957643 0.43093825 0.45489152 0.4793315 ]
 [0.02346236 0.03348314 0.0456898  0.05931379 0.07164535 0.08610671]
 [0.01651363 0.01456053 0.01327202 0.01090094 0.00879542 0.00669549]
 [0.00319073 0.00673111 0.01220274 0.01916637 0.02818808 0.0370776 ]
 [0.12698974 0.14345437 0.16456313 0.19125385 0.21396975 0.23384739]
 [       nan        nan        nan        nan        nan        nan]
 [       nan        nan        nan        nan        nan        nan]
 [0.01509861 0.01461544 0.01459368 0.01339552 0.01170798 0.00997949]
 [       nan        nan        nan        nan        nan        nan]
 [       nan        nan        nan        nan        nan        nan]
 [0.35375404 0.36481262 0.39388187 0.41645215 0.44353706 0.4610258 ]
 [0.01894162 0.0276511  0.03909088 0.05165865 0.06328642 0.07706799]
 [       nan        nan        nan        nan        nan        nan]
 [       nan        nan        nan        nan        nan        nan]
 [       nan        nan        nan        nan        nan        nan]
 [       nan        nan        nan        nan        nan        nan]
 [0.01648881 0.01453997 0.01339876 0.01117302 0.00906201 0.00698211]
 [0.00419919 0.00812275 0.01414264 0.02164228 0.03109593 0.04047593]
 [0.1405438  0.15627999 0.17809405 0.20631413 0.22971268 0.25024487]]","[[5.48994702e-04 4.02481157e-04 3.56154456e-04 3.03887622e-04
  2.50594690e-04 1.92697343e-04]
 [6.35671574e-03 3.64479608e-03 3.98296849e-03 2.99429785e-03
  2.97610595e-03 4.22971626e-03]
 [3.25507955e-04 3.53136214e-04 6.85227559e-04 7.25806592e-04
  8.82347140e-04 1.20629466e-03]
 [5.12204864e-04 3.91904335e-04 3.20900452e-04 2.53011239e-04
  2.01629131e-04 1.70631744e-04]
 [4.41507638e-05 1.07215490e-04 1.42637711e-04 2.36929998e-04
  3.33304709e-04 4.31157654e-04]
 [1.32782422e-03 1.48703028e-03 1.34907789e-03 1.50664700e-03
  2.17610364e-03 1.75517237e-03]
 [           nan            nan            nan            nan
             nan            nan]
 [           nan            nan            nan            nan
             nan            nan]
 [4.81867031e-04 4.18434498e-04 3.64409473e-04 3.30805727e-04
  3.10393932e-04 2.40779586e-04]
 [           nan            nan            nan            nan
             nan            nan]
 [           nan            nan            nan            nan
             nan            nan]
 [5.95280598e-03 3.83017195e-03 4.06620475e-03 2.96153929e-03
  3.24110161e-03 3.96727768e-03]
 [1.74622236e-04 2.81023486e-04 2.26396330e-04 3.74128282e-04
  5.57764034e-04 1.15819178e-03]
 [           nan            nan            nan            nan
             nan            nan]
 [           nan            nan            nan            nan
             nan            nan]
 [           nan            nan            nan            nan
             nan            nan]
 [           nan            nan            nan            nan
             nan            nan]
 [5.20259701e-04 4.35048550e-04 3.39642302e-04 2.69740478e-04
  2.12534896e-04 1.93504928e-04]
 [8.76610546e-05 1.58155342e-04 1.98353801e-04 2.95114437e-04
  3.92276359e-04 4.63791912e-04]
 [1.82149342e-03 1.86064707e-03 1.68284033e-03 1.91146516e-03
  2.51688186e-03 2.16974655e-03]]","[98.07515172 37.18440572 61.06430211 95.59871033 68.06662321 49.71255059
         nan         nan 99.84212716         nan         nan 37.86618108
 62.13732649         nan         nan         nan         nan 95.96708479
 67.3802418  48.69313049]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],,,[nan],[nan],[['alf_CMi' 'bright' '106']],,,,,,,[nan],[nan]
8,bet_Hyi,HD2151,106,bright,"[[0.39188243 0.42062631 0.44592178 0.46640562 0.48950399 0.50638798]
 [0.07380012 0.08925679 0.10868191 0.1275881  0.14679426 0.16564583]
 [0.1848429  0.20301768 0.22288282 0.24645406 0.2717442  0.29372419]
 [0.75715515 0.77076484 0.79178962 0.80146294 0.83385798 0.84010306]
 [0.41876902 0.44583902 0.48257114 0.49655688 0.50515631 0.52450251]
 [0.53709038 0.57273593 0.60220103 0.6216881  0.63937733 0.65111999]
 [0.39438081 0.41966963 0.44687482 0.46837031 0.49159231 0.50782363]
 [0.07633826 0.09229487 0.11161531 0.13086569 0.15048753 0.16883947]
 [0.1932907  0.21199957 0.2330155  0.25724494 0.28209726 0.3056873 ]
 [0.76273139 0.77226821 0.79181595 0.80555708 0.83838102 0.8404218 ]
 [0.42998342 0.46247219 0.49678496 0.51368919 0.52184525 0.54312199]
 [0.5386791  0.57179743 0.6057065  0.62799091 0.64396057 0.65616547]]","[[0.00512831 0.00550256 0.00477284 0.00440785 0.00484398 0.00535754]
 [0.00286151 0.00315611 0.00400804 0.00426815 0.00449407 0.0048341 ]
 [0.00365438 0.00354851 0.00453046 0.00444833 0.00561252 0.00507665]
 [0.0040741  0.00362614 0.00418994 0.00374425 0.00592792 0.00445066]
 [0.01450253 0.01218721 0.01485747 0.01310689 0.01276963 0.01339204]
 [0.0066732  0.00491907 0.00550904 0.00422889 0.00369772 0.00473778]
 [0.00554447 0.00521916 0.00352014 0.00250825 0.00260922 0.0030699 ]
 [0.00285267 0.00302139 0.00375735 0.00407015 0.00417111 0.00447454]
 [0.00360965 0.00331784 0.0040333  0.00379285 0.00503423 0.00482122]
 [0.00256975 0.00159824 0.00148058 0.00081875 0.0063353  0.00149384]
 [0.01066984 0.00926577 0.01303873 0.01312375 0.01230727 0.012014  ]
 [0.00356482 0.00284559 0.00147844 0.00280278 0.00391235 0.00436055]]","[ 84.95622084 129.15629215 110.15735613  51.74987546  81.05408604
  68.76178235  85.35939715 129.20629344 109.24171103  51.39612046
  80.75171805  69.2592197 ]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],2.3069340506078646,0.013537658688692136,[1.053164],[0.00204761],[['bet_Hyi' 'bright' '106']],,,,,2.245979622585487,0.012132915076561493,[1.04905356],[0.00185147]
9,bet_Hyi,HD2151,106,faint,"[[0.39876189 0.41946198 0.45153158 0.47432157 0.50161099 0.52110683]
 [0.06757621 0.08144455 0.10086477 0.11837458 0.13780091 0.1557651 ]
 [0.12040183 0.13644941 0.15714135 0.17697192 0.20353975 0.22337855]
 [0.74861691 0.74025856 0.77599671 0.78146964 0.81398864 0.8210433 ]
 [0.3768426  0.40330858 0.43490071 0.46077496 0.47805574 0.50294864]
 [0.58656718 0.60575838 0.62788233 0.6504191  0.67490784 0.69211893]
 [0.39210891 0.41530889 0.44475052 0.46784752 0.4966759  0.51924823]
 [0.06623389 0.07988239 0.09862071 0.11579686 0.13471367 0.15286457]
 [0.12448848 0.14358208 0.16396092 0.18405367 0.21059626 0.23138661]
 [0.73041036 0.72256331 0.75909652 0.76078804 0.79450334 0.80036076]
 [0.38323297 0.41212048 0.44379422 0.46652181 0.48133513 0.50537679]
 [0.56847116 0.59056469 0.61218296 0.63628638 0.66319262 0.68995714]]","[[0.00335972 0.00441859 0.00466987 0.00365156 0.00345815 0.00293787]
 [0.00123733 0.00132898 0.00164638 0.00188381 0.00201787 0.00222531]
 [0.00366944 0.00309702 0.00328483 0.00303745 0.00331386 0.00197057]
 [0.00558801 0.0044368  0.00283318 0.00383066 0.0042716  0.00240457]
 [0.00601815 0.00707157 0.00834974 0.00302579 0.00123271 0.00071465]
 [0.00655701 0.00765231 0.0078035  0.00646108 0.00446517 0.00272358]
 [0.00217611 0.00343993 0.00361878 0.00227427 0.00245034 0.00163068]
 [0.00116106 0.00136877 0.00151603 0.0018829  0.00203445 0.00203809]
 [0.00258154 0.0022451  0.00258447 0.00268302 0.00320429 0.00246438]
 [0.00368518 0.00071857 0.00285033 0.00195037 0.0013775  0.0009789 ]
 [0.00675156 0.00867672 0.0078329  0.00294863 0.00268443 0.0019609 ]
 [0.00576157 0.00552934 0.00432017 0.0044148  0.0040891  0.0022929 ]]","[ 81.564466   128.13989298 115.2506964   53.72989634  81.38990292
  63.95114819  82.11231711 128.35330282 114.65306519  53.49586368
  81.53487294  64.79612138]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],2.371703540989517,0.0051243336219279345,[1.03154732],[0.00216525],[['bet_Hyi' 'faint' '106']],,,,,2.307669518910421,0.005687766100900347,[1.02591804],[0.00180627]
