baseline_m,c_scale,candidate_remove,e_vis2_corrected,highlighted,large_raw_residual,large_sigma_residual,mjd,model_vis2,night,oifits_flag,period,point_id,raw_residual,sequence,spatial_frequency_rad_inv,standardized_residual,star,telescope_pair,vis2_corrected,wavelength_index,wavelength_um
,1.0,True,,False,False,False,,,unknown,True,,18,,combined,,,ksi_Gem,2-3,,0,1.5330000451285741
,1.0,True,,False,False,False,,,unknown,True,,19,,combined,,,ksi_Gem,2-3,,1,1.580999992256693
,1.0,True,,False,False,False,,,unknown,True,,20,,combined,,,ksi_Gem,2-3,,2,1.6290000530716497
,1.0,True,,False,False,False,,,unknown,True,,21,,combined,,,ksi_Gem,2-3,,3,1.6770000001997687
,1.0,True,,False,False,False,,,unknown,True,,22,,combined,,,ksi_Gem,2-3,,4,1.7249999473278876
,1.0,True,,False,False,False,,,unknown,True,,23,,combined,,,ksi_Gem,2-3,,5,1.7730000081428443
65.58557056941139,1.0,True,0.012006992179531363,False,True,True,59636.12901215702,0.8161770096818163,2022-02-25,False,,36,-0.051464863498395075,combined,42782497.481212184,-4.286241110919401,ksi_Gem,1-2,0.7647121461834212,0,1.5330000451285741
101.38044404882662,1.0,True,0.10556497971226735,False,True,False,,0.6081816174161735,unknown,True,,42,-0.057418226035252484,combined,66132055.48883317,-0.5439135799746676,ksi_Gem,1-3,0.550763391380921,0,1.5330000451285741
101.38044404882662,1.0,True,0.10469330059956276,False,False,False,,0.627294889097564,unknown,True,,43,-0.04375490534586213,combined,64124253.34937406,-0.41793414760337455,ksi_Gem,1-3,0.5835399837517019,1,1.580999992256693
101.38044404882662,1.0,True,0.10050214590258362,False,False,False,,0.645174555813788,unknown,True,,44,-0.04369971580195409,combined,62234770.25532516,-0.4348137585471266,ksi_Gem,1-3,0.6014748400118339,2,1.6290000530716497
101.38044404882662,1.0,True,0.09771789756055058,False,False,False,,0.661908605213425,unknown,True,,45,-0.03400525194600368,combined,60453455.001043476,-0.34799410133576025,ksi_Gem,1-3,0.6279033532674213,3,1.6770000001997687
101.38044404882662,1.0,True,0.09251321066952736,False,False,False,,0.6775799784948354,unknown,True,,46,-0.03673012691167443,combined,58771273.70691811,-0.39702575065609363,ksi_Gem,1-3,0.640849851583161,4,1.7249999473278876
101.38044404882662,1.0,True,0.0919306720960225,False,False,False,,0.692266233342742,unknown,True,,47,-0.04094261265860244,combined,57180171.22572893,-0.4453640088243614,ksi_Gem,1-3,0.6513236206841395,5,1.7730000081428443
86.90971392267257,1.0,True,0.007727379658468981,False,True,True,,0.6967375331532022,unknown,True,,60,-0.061471823826705574,combined,56692571.01384062,-7.955067117652781,ksi_Gem,2-3,0.6352657093264966,0,1.5330000451285741
86.90971392267257,1.0,True,0.007651697068584377,False,True,True,,0.71240041637863,unknown,True,,61,-0.07034556626474697,combined,54971356.324056074,-9.193459390017573,ksi_Gem,2-3,0.6420548501138831,1,1.580999992256693
86.90971392267257,1.0,True,0.007599916104605301,False,True,True,,0.7269534463316553,unknown,True,,62,-0.07252708521113205,combined,53351572.186136656,-9.543142873272378,ksi_Gem,2-3,0.6544263611205232,2,1.6290000530716497
86.90971392267257,1.0,True,0.0077832968713100895,False,True,True,,0.7404904781542929,unknown,True,,63,-0.06807288622162477,combined,51824516.346046306,-8.74602207100019,ksi_Gem,2-3,0.6724175919326681,3,1.6770000001997687
86.90971392267257,1.0,True,0.007711255409851592,False,True,True,,0.7530970228600304,unknown,True,,64,-0.06906451751416809,combined,50382444.39212889,-8.956326025193514,ksi_Gem,2-3,0.6840325053458624,4,1.7249999473278876
86.90971392267257,1.0,True,0.0073614010148393165,False,True,True,,0.7648507860897604,unknown,True,,65,-0.0624884839751082,combined,49018450.94389337,-8.488667286178567,ksi_Gem,2-3,0.7023623021146522,5,1.7730000081428443
