period,night,grade,mode,sequence_science,observed_name,pndrs_name,matched_id,expected_role,actual_role,science_value,Primary,HD_ID,Ref_ID_1,Ref_ID_2,Ref_ID_3,n_raw_observations,status
104,2019-11-26,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,bright,HR_2998,HR_3069,HR3069,HD64181,CAL,CAL,False,HR3069,HD64181,,,,6,WARNING:OIDIAM_NAME_MISMATCH;WARNING:PRIMARY_NOT_USED_BY_OLD_OIDIAM
104,2019-11-26,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,bright,HR_2998,HR_2998,HR2998,HD62644,SCI,SCI,True,HR2998,HD62644,,,,16,WARNING:OIDIAM_NAME_MISMATCH;WARNING:PRIMARY_NOT_USED_BY_OLD_OIDIAM
104,2019-11-26,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,bright,HR_2998,HD_65491,HD_65491,HD65491,CAL,CAL,False,HD65491,HD65491,,,,6,OK
104,2019-11-26,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,bright,HR_2998,HD_66162,HD_66162,HD66162,CAL,CAL,False,HD66162,HD66162,,,,6,OK
104,2019-11-25,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,faint,HR_2998,HD_61574,HD_61574,HD61574,CAL,CAL,False,HD61574,HD61574,,,,6,OK
104,2019-11-25,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,faint,HR_2998,HR_2998,HR2998,HD62644,SCI,SCI,True,HR2998,HD62644,,,,16,WARNING:OIDIAM_NAME_MISMATCH;WARNING:PRIMARY_NOT_USED_BY_OLD_OIDIAM
104,2019-11-25,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,faint,HR_2998,HR_3069,HR3069,HD64181,CAL,CAL,False,HR3069,HD64181,,,,6,WARNING:OIDIAM_NAME_MISMATCH;WARNING:PRIMARY_NOT_USED_BY_OLD_OIDIAM
104,2019-11-25,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,faint,HR_2998,HD_65187,HD_65187,HD65187,CAL,CAL,False,HD65187,HD65187,,,,6,OK
104,2019-11-27,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,bright,iot_Psc,HD_222919,HD_222919,HD222919,CAL,CAL,False,HD222919,HD222919,HD222919,,,6,OK
104,2019-11-27,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,bright,iot_Psc,iot_Psc,iot_Psc,HD222368,SCI,SCI,True,iotPsc,HD222368,,,,16,WARNING:OIDIAM_NAME_MISMATCH;WARNING:PRIMARY_NOT_USED_BY_OLD_OIDIAM
104,2019-11-27,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,bright,iot_Psc,HD_223292,HD_223292,HD223292,CAL,CAL,False,HD223292,HD223292,HD223292,,,6,OK
104,2019-11-27,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,bright,iot_Psc,HR_67,HR67,HD1367,CAL,CAL,False,HR67,HD1367,HR67,,,6,OK
104,2019-11-28,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,faint,iot_Psc,HD_218330,HD_218330,HD218330,CAL,CAL,False,HD218330,HD218330,HD218330,,,6,OK
