science_target,date,folder,run,container,concatenation,grades,n_obs,first_time,last_time,period
HR_2998,2019-11-25,2019-11-25,0104.D-0580(A),2553682,HD_61574 -> HR_2998 -> HR_3069 -> HR_2998 -> HD_65187,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,34,2019-11-25T04:10:06,2019-11-25T05:41:11,104
HR_2998,2019-11-26,2019-11-26,0104.D-0580(A),2553907,HR_3069 -> HR_2998 -> HD_65491 -> HR_2998 -> HD_66162,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,34,2019-11-26T04:35:59,2019-11-26T05:44:14,104
iot_Psc,2019-11-27,2019-11-27,0104.D-0580(A),2553756,HD_222919 -> iot_Psc -> HD_223292 -> iot_Psc -> HR_67,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,34,2019-11-27T00:23:56,2019-11-27T00:58:43,104
zet_Tuc,2019-11-27,2019-11-27,0104.D-0580(A),2553806,HR_8809 -> zet_Tuc -> HD_68 -> zet_Tuc -> HD_323,AAAAAA________________AAAAAAAAAAAA,34,2019-11-27T01:03:55,2019-11-27T01:38:07,104
pi3_Ori,2019-11-28,2019-11-28,0104.D-0580(A),2553614,HD_30519 -> pi3_Ori -> HD_30507 -> pi3_Ori -> HR_1618,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,34,2019-11-28T04:45:34,2019-11-28T05:22:34,104
iot_Psc,2019-11-28,2019-11-28;2019-11-29,0104.D-0580(A),2552764,HD_218330 -> iot_Psc -> HD_43 -> iot_Psc -> HR_67,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,34,2019-11-28T23:50:07,2019-11-29T00:29:10,104
zet_Tuc,2019-11-29,2019-11-29,0104.D-0580(A),2552801,HD_220757 -> zet_Tuc -> HD_68 -> zet_Tuc -> HD_8025,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,34,2019-11-29T00:35:09,2019-11-29T01:13:35,104
pi3_Ori,2019-11-29,2019-11-29,0104.D-0580(A),2553854,HR_1534 -> pi3_Ori -> HR_1618 -> pi3_Ori -> HR_1681,AAAAAABBBBBBBBBBAAAAAABBBBBBAAAAAA,34,2019-11-29T05:09:07,2019-11-29T05:41:51,104
gam_Lep,2020-01-03,2020-01-03,0104.D-0580(A),2553871,HD_38579 -> gam_Lep -> HD_39913 -> gam_Lep -> HR_2090,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,34,2020-01-03T02:46:42,2020-01-03T03:22:07,104
rho_Pup,2020-01-03,2020-01-03,0104.D-0580(A),2553934,HD_59936 -> rho_Pup -> HD_63734 -> rho_Pup -> HR_3317,XXXCCCCXXXCCCCCCCCCCCCCCCCCCCCCCCCCCCC,38,2020-01-03T04:43:13,2020-01-03T05:26:56,104
gam_Lep,2021-02-16,2021-02-16,106.21KX.001,2896679,HD_38295 -> gam_Lep -> HR_2090 -> gam_Lep,CCCCCC__________CCCCCCCC,24,2021-02-16T03:08:47,2021-02-16T03:45:39,106
gam_Lep,2021-02-17,2021-02-17,106.21KX.001,2896679,HD_38295 -> gam_Lep -> HR_2090 -> gam_Lep,CCCCCCCCCCCCCCCCCCCCCCCCCCCC,28,2021-02-17T00:15:11,2021-02-17T00:40:44,106
HD_65181;rho_Pup,2021-02-17,2021-02-17,106.21KX.001,2896558,HD_65181 -> rho_Pup -> HD_65181 -> rho_Pup -> HD_70942 -> rho_Pup -> HR_3317,CCCCCCCCCCCCCCCCBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,50,2021-02-17T05:35:39,2021-02-17T06:27:23,106
gam_Lep,2021-02-18,2021-02-18,106.21KX.001,2896679,HD_38295 -> gam_Lep -> HR_2090 -> gam_Lep -> HD_42747,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,34,2021-02-18T03:19:53,2021-02-18T03:50:20,106
rho_Pup,2021-02-18,2021-02-18,106.21KX.001,2896556,HD_59936 -> rho_Pup -> HD  63734 -> rho_Pup -> HR_3317,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,34,2021-02-18T03:57:13,2021-02-18T04:27:25,106
unknown,2021-02-18,2021-02-18,106.21KX.001,2896562,HD_76437,XXXXXX,6,2021-02-18T05:41:05,2021-02-18T05:44:16,106
alf_CMi,2021-02-26,2021-02-26,106.21KX.002,2896443,HR_2729 -> alf_CMi -> HD_63241 -> alf_CMi -> 27_Mon,AAAAAAAAAAAAAAAABBBBBBAAAAAABBBBBB,34,2021-02-26T01:59:50,2021-02-26T02:41:52,106
psi_Vel,2021-03-05,2021-03-05,106.21KX.001,2896562,HD_76437 -> psi_Vel -> HR_3729 -> psi_Vel -> HD_84369,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,34,2021-03-05T03:35:34,2021-03-05T04:11:18,106
bet_Hyi,2021-09-05,2021-09-05,106.21KX.001,2896548,sig_Pav -> bet_Hyi -> HD_4332 -> bet_Hyi -> lam_Tuc,_BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,35,2021-09-05T06:04:30,2021-09-05T06:36:28,106
bet_Hyi,2021-09-11,2021-09-11,106.21KX.001,2896552,HD_210056 -> bet_Hyi -> lam_Tuc -> bet_Hyi -> kap_Hyi,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,34,2021-09-11T04:01:34,2021-09-11T04:31:57,106
psi Vel A,2022-01-06,2022-01-06,106.21KX.001,2896554,HD_79810 -> psi Vel A -> HR_3729 -> psi Vel A -> HD_84900,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,34,2022-01-06T07:20:03,2022-01-06T07:54:01,106
ksi_Gem,2022-02-26,2022-02-26,106.21KX.001,2896546,12_Mon -> ksi_Gem -> HR_2426 -> ksi_Gem -> HR_2610,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,34,2022-02-26T02:38:14,2022-02-26T03:16:06,106
ksi_Gem,2022-03-01,2022-03-01,106.21KX.001,2896544,HR_2342 -> ksi_Gem -> HR_2391 -> ksi_Gem -> HR_2426,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,34,2022-03-01T01:39:45,2022-03-01T02:16:38,106
HD124850,2022-03-31,2022-03-31,105.20N8.001,2768962,HD121981 -> HD124850 -> HD123255 -> HD124850 -> HD125490,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,34,2022-03-31T07:19:38,2022-03-31T07:51:38,105
HD141004,2022-03-31,2022-03-31,105.20N8.001,2769038,HD142639 -> HD141004 -> HD139610 -> HD141004 -> HD142443,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,34,2022-03-31T08:01:30,2022-03-31T08:33:14,105
HD141004,2022-04-02,2022-04-02,105.20N8.001,2768997,HD142443 -> HD141004 -> HD142862 -> HD141004 -> HD143129,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,34,2022-04-02T07:28:52,2022-04-02T08:12:58,105
HD124850,2022-04-03,2022-04-03,105.20N8.001,2768920,HD122135 -> HD124850 -> HD125183 -> HD124850 -> HD125490,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,34,2022-04-03T07:00:16,2022-04-03T07:30:01,105
HD142860,2022-04-03,2022-04-03,105.20N8.001,2769769,HD141589 -> HD142860 -> HD141827 -> HD142860 -> HD143896,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,34,2022-04-03T08:45:31,2022-04-03T09:16:49,105
HD182572,2022-08-05,2022-08-05,105.20N8.001,2770363,HD178665 -> HD182572 -> HD178596 -> HD182572 -> HD186202,DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,34,2022-08-05T04:31:34,2022-08-05T05:24:26,105
unknown,2022-08-10,2022-08-10,105.20N8.001,2769331,HD141589 -> HD142860,CCCCCCCCCCCCCCCC,16,2022-08-10T02:17:33,2022-08-10T02:32:42,105
HD142860,2022-08-11,2022-08-11;2022-08-12,105.20N8.001,2769331,HD141589 -> HD142860 -> HD143257 -> HD142860 -> HD140346,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,34,2022-08-11T23:23:29,2022-08-12T00:04:27,105
