science_target,science_clean,date,folder,run,period,container,seq_type,seq_evidence,concatenation,grades,n_obs,first_time,last_time
HR_2998,hr2998,2019-11-25,2019-11-25,0104.D-0580(A),104,2553682,f,HD_61574:Faint; HR_2998:Science; HR_3069:Both; HR_2998:Science; HD_65187:Faint,HD_61574 -> HR_2998 -> HR_3069 -> HR_2998 -> HD_65187,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,34,2019-11-25T04:10:06,2019-11-25T05:41:11
HR_2998,hr2998,2019-11-26,2019-11-26,0104.D-0580(A),104,2553907,b,HR_3069:Both; HR_2998:Science; HD_65491:Bright; HR_2998:Science; HD_66162:Bright,HR_3069 -> HR_2998 -> HD_65491 -> HR_2998 -> HD_66162,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,34,2019-11-26T04:35:59,2019-11-26T05:44:14
iot_Psc,iotpsc,2019-11-27,2019-11-27,0104.D-0580(A),104,2553756,b,HD_222919:Bright; iot_Psc:Science; HD_223292:Bright; iot_Psc:Science; HR_67:Both,HD_222919 -> iot_Psc -> HD_223292 -> iot_Psc -> HR_67,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,34,2019-11-27T00:23:56,2019-11-27T00:58:43
zet_Tuc,zettuc,2019-11-27,2019-11-27,0104.D-0580(A),104,2553806,f,HR_8809:Faint; zet_Tuc:Science; HD_68:Both; zet_Tuc:Science; HD_323:Faint,HR_8809 -> zet_Tuc -> HD_68 -> zet_Tuc -> HD_323,AAAAAA________________AAAAAAAAAAAA,34,2019-11-27T01:03:55,2019-11-27T01:38:07
pi3_Ori,pi3ori,2019-11-28,2019-11-28,0104.D-0580(A),104,2553614,f,HD_30519:Faint; pi3_Ori:Science; HD_30507:Faint; pi3_Ori:Science; HR_1618:Both,HD_30519 -> pi3_Ori -> HD_30507 -> pi3_Ori -> HR_1618,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,34,2019-11-28T04:45:34,2019-11-28T05:22:34
iot_Psc,iotpsc,2019-11-28,2019-11-28|2019-11-29,0104.D-0580(A),104,2552764,f,HD_218330:Faint; iot_Psc:Science; HD_43:Faint; iot_Psc:Science; HR_67:Both,HD_218330 -> iot_Psc -> HD_43 -> iot_Psc -> HR_67,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,34,2019-11-28T23:50:07,2019-11-29T00:29:10
zet_Tuc,zettuc,2019-11-29,2019-11-29,0104.D-0580(A),104,2552801,b,HD_220757:Bright; zet_Tuc:Science; HD_68:Both; zet_Tuc:Science; HD_8025:Bright,HD_220757 -> zet_Tuc -> HD_68 -> zet_Tuc -> HD_8025,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,34,2019-11-29T00:35:09,2019-11-29T01:13:35
pi3_Ori,pi3ori,2019-11-29,2019-11-29,0104.D-0580(A),104,2553854,b,HR_1534:Bright; pi3_Ori:Science; HR_1618:Both; pi3_Ori:Science; HR_1681:Bright,HR_1534 -> pi3_Ori -> HR_1618 -> pi3_Ori -> HR_1681,AAAAAABBBBBBBBBBAAAAAABBBBBBAAAAAA,34,2019-11-29T05:09:07,2019-11-29T05:41:51
gam_Lep,gamlep,2020-01-03,2020-01-03,0104.D-0580(A),104,2553871,f,HD_38579:Faint; gam_Lep:Science; HD_39913:Faint; gam_Lep:Science; HR_2090:Faint,HD_38579 -> gam_Lep -> HD_39913 -> gam_Lep -> HR_2090,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,34,2020-01-03T02:46:42,2020-01-03T03:22:07
rho_Pup,rhopup,2020-01-03,2020-01-03,0104.D-0580(A),104,2553934,f,HD_59936:Faint; rho_Pup:Science; HD_63734:Faint; rho_Pup:Science; HR_3317:Faint,HD_59936 -> rho_Pup -> HD_63734 -> rho_Pup -> HR_3317,XXXCCCCXXXCCCCCCCCCCCCCCCCCCCCCCCCCCCC,38,2020-01-03T04:43:13,2020-01-03T05:26:56
gam_Lep,gamlep,2021-02-16,2021-02-16,106.21KX.001,106,2896679,f,HD_38295:Both; gam_Lep:Science; HR_2090:Faint; gam_Lep:Science,HD_38295 -> gam_Lep -> HR_2090 -> gam_Lep,CCCCCC__________CCCCCCCC,24,2021-02-16T03:08:47,2021-02-16T03:45:39
gam_Lep,gamlep,2021-02-17,2021-02-17,106.21KX.001,106,2896679,f,HD_38295:Both; gam_Lep:Science; HR_2090:Faint; gam_Lep:Science,HD_38295 -> gam_Lep -> HR_2090 -> gam_Lep,CCCCCCCCCCCCCCCCCCCCCCCCCCCC,28,2021-02-17T00:15:11,2021-02-17T00:40:44
gam_Lep,gamlep,2021-02-18,2021-02-18,106.21KX.001,106,2896679,f,HD_38295:Both; gam_Lep:Science; HR_2090:Faint; gam_Lep:Science; HD_42747:Faint,HD_38295 -> gam_Lep -> HR_2090 -> gam_Lep -> HD_42747,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,34,2021-02-18T03:19:53,2021-02-18T03:50:20
rho_Pup,rhopup,2021-02-17,2021-02-17,106.21KX.001,106,2896558,f,HD_65181:Faint; rho_Pup:Science; HD_65181:Faint; rho_Pup:Science; HD_70942:Faint; rho_Pup:Science; HR_3317:Both,HD_65181 -> rho_Pup -> HD_65181 -> rho_Pup -> HD_70942 -> rho_Pup -> HR_3317,CCCCCCCCCCCCCCCCBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,50,2021-02-17T05:35:39,2021-02-17T06:27:23
rho_Pup,rhopup,2021-02-18,2021-02-18,106.21KX.001,106,2896556,b,HD_59936:Bright; rho_Pup:Science; HD  63734:Bright; rho_Pup:Science; HR_3317:Both,HD_59936 -> rho_Pup -> HD  63734 -> rho_Pup -> HR_3317,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,34,2021-02-18T03:57:13,2021-02-18T04:27:25
unknown,unknown,2021-02-18,2021-02-18,106.21KX.001,106,2896562,f,HD_76437:Faint,HD_76437,XXXXXX,6,2021-02-18T05:41:05,2021-02-18T05:44:16
psi_Vel,psivel,2021-03-05,2021-03-05,106.21KX.001,106,2896562,f,HD_76437:Faint; psi_Vel:Science; HR_3729:Both; psi_Vel:Science; HD_84369:Faint,HD_76437 -> psi_Vel -> HR_3729 -> psi_Vel -> HD_84369,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,34,2021-03-05T03:35:34,2021-03-05T04:11:18
alf_CMi,alfcmi,2021-02-26,2021-02-26,106.21KX.002,106,2896443,b,HR_2729:Bright; alf_CMi:Science; HD_63241:Bright; alf_CMi:Science; 27_Mon:Bright,HR_2729 -> alf_CMi -> HD_63241 -> alf_CMi -> 27_Mon,AAAAAAAAAAAAAAAABBBBBBAAAAAABBBBBB,34,2021-02-26T01:59:50,2021-02-26T02:41:52
bet_Hyi,bethyi,2021-09-05,2021-09-05,106.21KX.001,106,2896548,b,sig_Pav:Bright; bet_Hyi:Science; HD_4332:Bright; bet_Hyi:Science; lam_Tuc:Both,sig_Pav -> bet_Hyi -> HD_4332 -> bet_Hyi -> lam_Tuc,_BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,35,2021-09-05T06:04:30,2021-09-05T06:36:28
bet_Hyi,bethyi,2021-09-11,2021-09-11,106.21KX.001,106,2896552,f,HD_210056:Faint; bet_Hyi:Science; lam_Tuc:Both; bet_Hyi:Science; kap_Hyi:Faint,HD_210056 -> bet_Hyi -> lam_Tuc -> bet_Hyi -> kap_Hyi,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,34,2021-09-11T04:01:34,2021-09-11T04:31:57
psi Vel A,psivela,2022-01-06,2022-01-06,106.21KX.001,106,2896554,b,HD_79810:Bright; psi Vel A:Science; HR_3729:Both; psi Vel A:Science; HD_84900:Bright,HD_79810 -> psi Vel A -> HR_3729 -> psi Vel A -> HD_84900,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,34,2022-01-06T07:20:03,2022-01-06T07:54:01
ksi_Gem,ksigem,2022-02-26,2022-02-26,106.21KX.001,106,2896546,b,12_Mon:Bright; ksi_Gem:Science; HR_2426:Both; ksi_Gem:Science; HR_2610:Bright,12_Mon -> ksi_Gem -> HR_2426 -> ksi_Gem -> HR_2610,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,34,2022-02-26T02:38:14,2022-02-26T03:16:06
ksi_Gem,ksigem,2022-03-01,2022-03-01,106.21KX.001,106,2896544,f,HR_2342:Faint; ksi_Gem:Science; HR_2391:Faint; ksi_Gem:Science; HR_2426:Both,HR_2342 -> ksi_Gem -> HR_2391 -> ksi_Gem -> HR_2426,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,34,2022-03-01T01:39:45,2022-03-01T02:16:38
HD124850,hd124850,2022-03-31,2022-03-31,105.20N8.001,105,2768962,f,HD121981:Faint; HD124850:Science; HD123255:Faint; HD124850:Science; HD125490:Both,HD121981 -> HD124850 -> HD123255 -> HD124850 -> HD125490,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,34,2022-03-31T07:19:38,2022-03-31T07:51:38
HD141004,hd141004,2022-03-31,2022-03-31,105.20N8.001,105,2769038,b,HD142639:Bright; HD141004:Science; HD139610:Bright; HD141004:Science; HD142443:Both,HD142639 -> HD141004 -> HD139610 -> HD141004 -> HD142443,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,34,2022-03-31T08:01:30,2022-03-31T08:33:14
