# night     baseline   start_MJD    end_MJD
2022-02-26    G1-J2    59636.1160     59636.1190
2022-02-26    G1-J2    59636.12     59636.1305
2022-03-31    G1-J2    59669.30747724    59669.32564219
2022-03-31    G1-J2    59669.33735535    59669.35399149
2022-04-02    G1-J2    59671.31364877    59671.34035847
2022-04-03    G1-J2    59672.36838644    59672.38487579
2019-11-25    A0-G1    58812.18820226    58812.22571774
2019-11-25    G1-J2    58812.18820226    58812.22571774
2019-11-26    A0-G1    58813.20378470    58813.22929995
2019-11-26    G1-J2    58813.20378470    58813.22929995
2021-02-18    G1-J2    59263.14129586    59263.15787153
2021-02-18    A0-G1    59263.14129586    59263.15787153
2019-11-29    A0-G1    58815.99875418    58816.01766721
2019-11-29    G1-J2    58815.99875418    58816.01766721
2019-11-27    A0-G1    58814.01925066    58814.03820750
2019-11-27    G1-J2    58814.01925066    58814.03820750
2022-01-06    G1-D0    59585.31056783    59585.32718558
2022-01-06    A0-D0    59585.31056783    59585.32718558
2022-01-06    D0-J3    59585.31056783    59585.32718558
2019-11-29    A0-G1    58816.03008283    58816.04844280
2019-11-29    G1-J2    58816.03008283    58816.04844280
2019-11-29    J2-J3    58816.03008283    58816.04844280
2022-02-26    A0-J2    59636.11666204     59636.11866204  
2022-02-26    A0-J2    59636.12915489     59636.13115489
2022-02-26    J2-K0    59636.11666204     59636.11866204   
2022-02-26    J2-K0    59636.12915489     59636.13115489
2022-03-31    A0-G1    59669.30906741     59669.31106741
2022-03-31    A0-G1    59669.32205326     59669.32405326
2022-03-31    G1-J2    59669.30906741     59669.31106741
2022-03-31    G1-J2    59669.32205326     59669.32405326
2022-03-31    G1-J3    59669.30906741     59669.31106741
2022-03-31    G1-J3    59669.32205326     59669.32405326
