star	period	b_night	b_order	f_night	f_order
iotPsc	104	2019-11-27	0	2019-11-29	0
zetTuc	104	2019-11-29	0	2019-11-27	0
pi3ori	104	2019-11-29	0	2019-11-28	0
gamlep	104		0	2020-01-30	0
hr2998	104	2019-11-26	0	2019-11-25	0
alfcmi	106		0	2021-02-26	0
iotpsc	106	2021-02-26	0	2021-02-26	0
zettuc	106	2021-02-26	0	2021-02-26	0
pi3ori	106	2021-02-26	0	2021-02-26	0
gamlep	106	2021-02-26	0	2021-02-26	0
hr2998	106	2021-02-26	0	2021-02-26	0
rhopup	106	2021-02-26	0	2021-02-26	0
etaboo	106	2021-02-26	0	2021-02-26	0
iotvir	106	2021-02-26	0	2021-02-26	0
laSer	106	2021-02-26	0	2021-02-26	0
gamser	106	2021-02-26	0	2021-02-26	0
baql	106	2021-02-26	0	2021-02-26	0
hd124850	105	2022-04-03	0	2022-03-31	0
hd141004	105	2022-03-31	0	2022-04-02	0
hd142860	105	2022-08-11	0	2022-04-03	0
hd182572	105		0	2022-08-05	0
psivela	106	2022-01-06	0		0
psivel	106		0	2022-01-06	0
