HD_ID,Primary,Science,Sequence,SpT,SpT_simple,BTmag,e_BTmag,VTmag,e_VTmag,Jmag,e_Jmag,Kmag,e_Kmag,W1mag,e_W1mag,W3mag,e_W3mag,W4mag,e_W4mag,Plx,e_Plx,Plx_alt,e_Plx_alt,FeH_rel,e_FeH_rel,Quality,LDD_rel,Bmag,Vmag,eb_v,A_V,Bmag_dr,Vmag_dr,Hpmag_dr,BTmag_dr,VTmag_dr,BPmag_dr,RPmag_dr,Dist,e_Dist,V-K_calc,LDD_VK,e_LDD_VK,LDD_VW3,e_LDD_VW3,LDD_VW4,e_LDD_VW4,LDD_BV,e_LDD_BV,LDD_BV_feh,e_LDD_BV_feh,LDD_pred,e_LDD_pred,teff_casagrande,e_teff_casagrande,nan_outputs,probable_reason
HD1367,HR67,False,Both,K0III,K0III,7.371,0.015,6.281000000000001,0.01,4.952,0.21600000000000003,4.225,0.264,3.93, 0.376,4.001,0.015,3.96, 0.026,8.813106762,0.027938481,8.875022949,0.041939546,,,GOOD,LDD_VW3,7.126122580343318,6.175786286061529,-0.04966370571821077,-0.1539574877264534,7.327216852749086,6.32924599445231,6.506972909791945,7.5861215389874515,6.440910571771416,6.565972171771414,5.411973966853642,112.42136005292387,0.5464711325450005,2.3959125651339375,0.7919549069583517,0.036429925720084175,0.7403936103846362,0.03776007412961645,0.738755921202683,0.053190426326593175,0.7443995108991247,0.058063161850131724,,,0.7403936103846362,0.03776007412961645,,,LDD_BV_feh; e_LDD_BV_feh; teff_casagrande; e_teff_casagrande,Missing FeH_rel: Casagrande Teff or FeH-dependent LDD may be NaN
HD222919,HD222919,False,Bright,K0,K0,8.28,0.016,6.9910000000000005,0.01,4.912,0.218,4.31,0.017,4.196000000000001, 0.354,4.34,0.031,4.164, 0.025,7.250355862999999,0.024114342,7.253779219,0.048690005,,,GOOD,LDD_VW3,7.970354382627389,6.868058021025499,-0.1477036383981103,-0.45788127903414194,8.568424044683667,7.324458866452545,7.522435308299404,8.919787819832308,7.4665862037958926,7.596006203795891,6.137219263148657,136.38181488791716,0.7602148776649414,2.9602361378982396,0.7055661297727591,0.03245604196954692,0.6716100084237255,0.03425211042961,0.7132710283040183,0.05135551403788932,1.2550862287689408,0.09789672584397739,,,0.6716100084237255,0.03425211042961,,,LDD_BV_feh; e_LDD_BV_feh; teff_casagrande; e_teff_casagrande,Missing FeH_rel: Casagrande Teff or FeH-dependent LDD may be NaN
HD223292,HD223292,False,Bright,G5,G5,8.158,0.016,7.001,0.01,4.989,0.02,4.398,0.016,4.297, 0.256,4.346,0.016,4.284, 0.025,6.1943593660000005,0.026786068,6.1196176179999995,0.050110675,,,GOOD,LDD_VW3,7.891642466819933,6.8903250387701975,-0.02868257195026458,-0.0889159730458202,8.007781624251948,6.978953526389703,7.148298645348646,8.28224040717116,7.093354092674154,7.213326092674155,5.949214885940472,159.32803424500406,1.0789531571682243,2.6424088977598483,0.6820082216421638,0.031372378195539535,0.6490561469294062,0.03310186349339971,0.6529991812019231,0.047015941046538466,0.607014942586987,0.04734716552178498,,,0.6490561469294062,0.03310186349339971,,,LDD_BV_feh; e_LDD_BV_feh; teff_casagrande; e_teff_casagrande,Missing FeH_rel: Casagrande Teff or FeH-dependent LDD may be NaN
HD218330,HD218330,False,Faint,K0III,K0III,8.399,0.017,7.122000000000001,0.01,5.0569999999999995,0.017,4.327,0.017,4.275, 0.320,4.289,0.015,4.238, 0.026,6.086806092000001,0.02290502,6.015569515,0.056321687,,,GOOD,LDD_VW3,8.093181438335945,7.000296200436887,0.09288523789905767,0.2879442374870788,7.717078023127067,6.713282951714068,6.8485868167161,7.996661611490785,6.8229218042278355,6.930548504227835,5.772146070527801,162.1059221324605,1.0556041271639673,2.4448803006723874,0.6836152314872976,0.031446300648415686,0.6540153412492692,0.03335478240371273,0.6556625533750715,0.04720770384300515,0.6346980644347872,0.0495064490259134,,,0.6540153412492692,0.03335478240371273,,,LDD_BV_feh; e_LDD_BV_feh; teff_casagrande; e_teff_casagrande,Missing FeH_rel: Casagrande Teff or FeH-dependent LDD may be NaN
HD43,HD43,False,Faint,K0III,K0III,8.347000000000001,0.017,7.017,0.01,5.073,0.017,4.416,0.036000000000000004,4.207, 0.239,4.418,0.015,4.3660000000000005, 0.028,5.488711886,0.035960328,5.495218573,0.051434775,,,GOOD,LDD_VW3,8.025608569110673,6.890593766918077,0.13501480219259676,0.41854588679704996,7.4789175194137245,6.473401133519447,6.636894688349965,7.762174691180818,6.582270172573813,6.7175711725738125,5.682847997655663,179.51027094277552,1.5727609544237635,2.089370446925498,0.615173309669049,0.028297972244776256,0.5963194982220054,0.03041229440932227,0.5988965150611931,0.04312054908440591,0.7125262530473295,0.0555770477376917,,,0.5963194982220054,0.03041229440932227,,,LDD_BV_feh; e_LDD_BV_feh; teff_casagrande; e_teff_casagrande,Missing FeH_rel: Casagrande Teff or FeH-dependent LDD may be NaN
HD68,HD68,False,Both,K3III,K3III,8.738999999999999,0.017,7.211,0.01,5.085,0.268,4.099,0.036000000000000004,3.992, 0.308,3.992,0.015,3.937, 0.027,4.062202905,0.016993941999999998,4.105758937,0.024479327000000002,,,GOOD,LDD_VW3,8.353071179815322,7.0652718062433,0.01779937357202188,0.05517805807326783,8.28099939165571,7.010272151296096,,8.661900867334555,7.153688368418885,7.267316368418884,5.853618253029617,241.30092635992685,2.1612755137370474,2.9178002798152627,0.7946568649447736,0.036554215787459585,0.7907310208231916,0.040327282061982765,0.787200925062692,0.056678466604513825,1.6701865989282596,0.13027455471640426,,,0.7907310208231916,0.040327282061982765,,,Hpmag_dr; LDD_BV_feh; e_LDD_BV_feh; teff_casagrande; e_teff_casagrande,Missing FeH_rel: Casagrande Teff or FeH-dependent LDD may be NaN
HD218558,HR8809,False,Faint,K0III,K0III,7.692,0.006999999999999999,6.582999999999999,0.004,5.12,0.278,4.148,0.015,4.1080000000000005,0.292,4.103,0.015,4.064,0.024,15.75468658,0.015970778,15.75468658,0.015970778,,,GOOD,LDD_VW3,7.441182293992753,6.476314416568348,0.0,0.0,7.441182293992753,6.476314416568348,6.6287,7.692,6.582999999999999,6.6977595999999995,5.5489163,63.14452173745046,0.14617786469299698,2.4075371303411,0.7453385126826875,0.034285571583403625,0.7092688165184963,0.036172709642443304,0.7067278372436369,0.05088440428154185,0.6329392426103354,0.049369260923606155,,,0.7092688165184963,0.036172709642443304,,,LDD_BV_feh; e_LDD_BV_feh; teff_casagrande; e_teff_casagrande,Missing FeH_rel: Casagrande Teff or FeH-dependent LDD may be NaN
HD323,HD323,False,Faint,K1/2III,K1III,8.329,0.015,6.9479999999999995,0.01,5.222,0.27,4.442,0.37799999999999995,11.619000000000002, 0.021,11.708,0.215,9.195,      ,6.863113762999999,0.023530007999999998,6.925492115,0.022844367,,,GOOD,LDD_VW3,7.992321604171588,6.816986324683727,0.10533527948786081,0.3265393664123685,7.565806484509414,6.4915027338057865,6.652032738447849,7.872733454735077,6.608834314978852,6.741451714978852,5.619339108121664,143.98612234798608,0.8402630800195067,2.3052421271534462,0.6955501221559965,0.03199530561917584,0.010849308812517257,0.00055331474943838,0.019524960843293245,0.0014057971807171139,0.8859048274490079,0.06910057654102261,,,0.010849308812517257,0.00055331474943838,,,LDD_BV_feh; e_LDD_BV_feh; teff_casagrande; e_teff_casagrande,Missing FeH_rel: Casagrande Teff or FeH-dependent LDD may be NaN
HD220757,HD220757,False,Bright,K3IIICNII,K3III,8.77,0.016,7.271,0.01,5.105,0.02,4.4030000000000005,0.026000000000000002,4.277, 0.290,4.295,0.016,4.2589999999999995, 0.030,6.415963143,0.015847173,6.37970125,0.032108541000000004,,,GOOD,LDD_VW3,8.393326943041595,7.128097987508083,-0.004771044466487684,-0.01479023784611182,8.412645471567188,7.142840405174233,7.3085026153842065,8.790666086297142,7.286362132920805,7.387268132920805,6.029171923717458,153.89437859112215,0.8670006957340575,2.8499898540935518,0.7174245636829614,0.03300152992941622,0.6773571653721139,0.03454521543397781,0.6697797463157722,0.048224141734735604,1.563457124912501,0.1219496557431751,,,0.6773571653721139,0.03454521543397781,,,LDD_BV_feh; e_LDD_BV_feh; teff_casagrande; e_teff_casagrande,Missing FeH_rel: Casagrande Teff or FeH-dependent LDD may be NaN
HD8025,HD8025,False,Bright,K2III,K2III,8.812999999999999,0.017,7.415,0.01,5.321000000000001,0.024,4.59,0.02,4.537, 0.297,4.559,0.015,4.5, 0.028,6.075469067999999,0.013897473,6.056178900000001,0.019471926,,,GOOD,LDD_VW3,8.47067146902292,7.282207469170356,0.028463999852563093,0.08823839954294559,8.355417336103672,7.194254364305532,7.3546115637446015,8.68970635194311,7.323349680606781,7.4409319806067815,6.178544185058534,162.40438871174206,0.9444157162800408,2.6437416190009677,0.6181317351975726,0.028434059819088336,0.5885339449898676,0.030015231194483242,0.5911392006945134,0.04256202245000496,0.9017720574533122,0.07033822048135835,,,0.5885339449898676,0.030015231194483242,,,LDD_BV_feh; e_LDD_BV_feh; teff_casagrande; e_teff_casagrande,Missing FeH_rel: Casagrande Teff or FeH-dependent LDD may be NaN
