SpT,V,III,II,Ib,Iab,Ia,w(VII)
O5,-0.33,-0.32,-0.32,-0.32,-0.31,-0.31,
O6,-0.33,-0.32,-0.32,-0.32,-0.31,-0.31,
O7,-0.32,-0.32,-0.32,-0.31,-0.31,-0.31,
O8,-0.32,-0.31,-0.31,-0.29,-0.29,-0.29,
O9,-0.31,-0.31,-0.31,-0.28,-0.27,-0.27,
B0,-0.3,-0.29,-0.29,-0.24,-0.23,-0.23,-0.28
B1,-0.26,-0.26,-0.26,-0.2,-0.19,-0.19,
B2,-0.24,-0.24,-0.23,-0.18,-0.17,-0.16,
B3,-0.2,-0.2,-0.2,-0.14,-0.13,-0.12,-0.22
B5,-0.17,-0.17,-0.16,-0.1,-0.1,-0.08,
B6,-0.15,-0.15,-0.14,-0.08,-0.08,-0.06,
B7,-0.13,-0.13,-0.12,-0.06,-0.05,-0.04,
B8,-0.11,-0.11,-0.1,-0.04,-0.03,-0.02,-0.15
B9,-0.07,-0.07,-0.07,-0.03,-0.02,0,-0.06
A0,-0.02,-0.03,-0.03,-0.01,-0.01,0.02,0
A1,0.01,0.01,0.01,0.03,0.02,0.02,0.03
A2,0.05,0.05,0.03,0.04,0.03,0.03,0.07
A3,0.08,0.08,0.07,0.06,0.06,0.05,0.1
A5,0.15,0.15,0.11,0.09,0.09,0.09,0.16
A7,0.2,0.22,0.16,0.13,0.12,0.12,0.22
A8,0.25,0.25,0.18,0.14,0.14,0.14,
F0,0.3,0.3,0.25,0.19,0.17,0.17,0.29
F2,0.35,0.35,0.3,0.23,0.23,0.22,0.35
F5,0.44,0.43,0.38,0.33,0.32,0.31,0.42
F8,0.52,0.54,0.58,0.56,0.56,0.56,0.5
G0,0.58,0.65,0.71,0.76,0.76,0.75,0.56
G2,0.63,0.77,0.81,0.86,0.87,0.87,0.6
G5,0.68,0.86,0.89,1,1.02,1.03,0.68
G8,0.74,0.94,0.99,1.14,1.14,1.17,0.73
K0,0.81,1,1.08,1.2,1.25,1.25,0.81
K1,0.86,1.07,1.14,1.24,1.32,1.32,0.85
K2,0.91,1.16,1.29,1.33,1.36,1.36,0.89
K3,0.96,1.27,1.4,1.46,1.46,1.46,0.96
K5,1.15,1.5,1.49,1.59,1.6,1.6,
K7,1.33,1.53,1.57,1.61,1.63,1.63,
M0,1.4,1.56,1.58,1.64,1.67,1.67,
M1,1.46,1.58,1.59,1.68,1.69,1.69,
M2,1.49,1.6,1.59,1.68,1.71,1.71,
M3,1.51,1.61,1.6,1.69,1.69,1.69,
M4,1.54,1.62,,1.75,1.76,1.76,
M5,1.64,1.63,,,1.8,,
M6,1.73,1.52,,,,,
M7,1.8,1.5,,,,,
M8,1.93,1.5,,,,,
