,,,,,,,,Identifiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tycho,,,,,,,2MASS,,,,,,,,,,,,,,,,ALLWISE,,,,,,,,,,,,,,,,,,,,Colours,,,,Gaia,,,,,,,,,,,,,,,,,,JSDC,,,,,Quality/paper,,,,,,,,,,,,,,,,,,,,,
Period,Science,Sequence,Dup_tar,Primary,Ref_ID_1,Ref_ID_2,Ref_ID_3,HD_ID,Bayer_ID,Tycho_ID,2MASS_ID,ALLWISE,GaiaDR2_ID,GaiaDR3_ID,HP,,SpT,SpT_q,SpT_simple,Teff,e_teff,logg,e_logg,FeH_abs,FeH_rel,e_FeH_rel,vtur,e_vtur,vsini,teff_source,teff_bib_ref,logg_source,logg_bib_ref,feh_source,feh_bib_ref,vsini_source,vsini_bib_ref,Hpmag,e_Hpmag,BTmag,e_BTmag,VTmag,e_VTmag,tyc_notes,Jmag,Jcmsig,e_Jmag,Jsnr,Hmag,Hcmsig,e_Hmag,Hsnr,Kmag,Kcmsig,e_Kmag,Ksnr,Qflg,Cflg,Prox,2MASS_notes,ALLWISE_ID,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,snr1,snr2,snr3,snr4,sat1,sat2,sat3,sat4,ccf,qph,ALLWISE_confidence,J-K,BT-VT,W1-W4,W3-W4,RA,DEC,Plx,e_Plx,PmRA,PmDEC,Dup,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,Dist,Gaia_comment,Plx_alt,e_Plx_alt,alt_plx_source,JSDC_LDD,e_JSDC_LDD,LDDCHI,CAlFlag,LDD_rel,Quality,Quality_reason,exclusion_reason,in_paper,Comments,,,,,,,,,,,,,,,,,
104,TRUE,Both,FALSE,iot_Psc,,,,HD222368,iot Psc,TYC  591-1744-1,2MASS J23395706+0537343,J233957.33+053729.9,2756363608023335808,2756363608023588864,HD222368,2MASS J23395706+0537343,F7V,C,F7V,6343,,4.32,,7.39,-0.06,,,,3,,,,,,,,,4.2373,6.00E-04,4.718,0.014,4.176,0.009,,3.299,0.286,0.286,1000000,2.988,0.24,0.24,1000000,2.946,0.288,0.288,665304,DDD,000,51.7,,J233957.33+053729.9, 2.044,      , 1.669,      , 2.911, 0.013, 2.859, 0.021,    1.6,    1.6,   81.9,    51.4, 0.236, 0.214, 0.096, 0.000,0000,UUAA,,0.353,0.542,-0.815,0.052,354.9893506,5.624351601,73.23703629,0.16977987,376.4966062,-436.7597625,FALSE,3.9992578,0.001370705,4.2614365,0.001830506,3.5563064,0.002602689,13.65429366,,74.44483074,0.333904744,Gaia DR2,1.059062,0.102444,0.0199394,0,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
104,FALSE,Both,FALSE,HR_67,HR67,,,HD1367,,TYC    2-1641-1,2MASS J00174770+0141193,J001747.76+014119.5,2547964815499312768,2547964815499312768,HD1367,2MASS J00174770+0141193,K0III,C,K0III,,,,,,,,,,,,,,,,,,,6.3456,7.00E-04,7.371,0.015,6.281,0.01,,4.952,0.216,0.216,464120,4.326,0.206,0.206,392202,4.225,0.264,0.264,235191,CCD,000,65.8,,J001747.76+014119.5, 3.930, 0.376, 3.672, 0.212, 4.001, 0.015, 3.960, 0.026,    2.9,    5.1,   71.9,    41.8, 0.208, 0.220, 0.000, 0.000,0000,CBAA,,0.727,1.09,-0.03,0.041,4.449150278,1.688775024,8.813106762,0.027938481,91.41753456,10.18751944,FALSE,5.9470086,2.28E-04,6.4060616,6.16E-04,5.3193207,0.001205408,113.4673648,,8.875022949,0.041939546,Gaia DR2,0.663706,0.058933,0.0969316,0,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
104,FALSE,Bright,FALSE,HD_222919,HD222919,,,HD222919,,TYC  592-338-1,2MASS J23444897+0711305,J234448.97+071130.4,2756991566602828416,2756991566602828416,HD222919,2MASS J23444897+0711305,K0,E,K0,,,,,,,,,,,,,,,,,,,7.0425,7.00E-04,8.28,0.016,6.991,0.01,,4.912,0.218,0.218,296914,4.388,0.047,0.049,236434,4.31,0.009,0.017,153964,DEE,000,27.6,,J234448.97+071130.4, 4.196, 0.354, 3.830, 0.176, 4.340, 0.031, 4.164, 0.025,    3.1,    6.2,   34.7,    43.3, 0.219, 0.222, 0.000, 0.000,HHH0,BBAA,,0.602,1.289,0.032,0.176,356.2040322,7.191761694,7.250355863,0.024114342,20.53578075,-10.43327594,FALSE,6.568927,1.03E-04,7.12042,5.55E-04,5.8616614,4.22E-04,137.9242645,,7.253779219,0.048690005,Gaia DR2,0.697197,0.05176,0.0197456,0,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
104,FALSE,Bright,FALSE,HD_223292,HD223292,,,HD223292,,TYC  592-194-1,2MASS J23481444+0709473,J234814.43+070947.0,2756953977049161984,2756953977049161984,HD223292,2MASS J23481444+0709473,G5,E,G5,,,,,,,,,,,,,,,,,,,7.0551,9.00E-04,8.158,0.016,7.001,0.01,,4.989,0.011,0.02,286306,4.497,0.031,0.034,206590,4.398,0.007,0.016,141978,AAA,000,20.8,,J234814.43+070947.0, 4.297, 0.256, 4.072, 0.183, 4.346, 0.016, 4.284, 0.025,    4.2,    5.9,   68.9,    44.1, 0.210, 0.205, 0.000, 0.000,0000,BBAA,,0.591,1.157,0.013,0.062,357.0601061,7.163047561,6.194359366,0.026786068,-21.71380778,-31.2507731,FALSE,6.5906873,1.15E-04,7.120972,4.72E-04,5.8957043,6.98E-04,161.4371949,,6.119617618,0.050110675,Gaia DR2,0.627794,0.014955,0.0878293,0,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
104,FALSE,Faint,FALSE,HD_218330,HD218330,,,HD218330,,TYC  579-445-1,2MASS J23070268+0303079,J230702.69+030308.1,2658767863565504512,2658767863565504512,HD218330,2MASS J23070268+0303079,K0III,C,K0III,,,,,,,,,,,,,,,,,,,7.1504,0.0011,8.399,0.017,7.122,0.01,,5.057,0.003,0.017,330849,4.536,0.182,0.182,228828,4.327,0.009,0.017,168120,ECA,000,63.8,,J230702.69+030308.1, 4.275, 0.320, 4.006, 0.164, 4.289, 0.015, 4.238, 0.026,    3.4,    6.6,   73.4,    41.5, 0.206, 0.212, 0.000, 0.000,0000,BBAA,,0.73,1.277,0.037,0.051,346.7613014,3.052312545,6.086806092,0.02290502,34.18705712,15.24434686,FALSE,6.6624274,1.73E-04,7.2296267,7.55E-04,5.945434,7.08E-04,164.2897744,,6.015569515,0.056321687,Gaia DR2,0.665944,0.041962,0.0335439,0,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
104,FALSE,Faint,FALSE,HD_43,HD43,,,HD43,,TYC    4-586-1,2MASS J00052224+0336218,J000522.24+033621.8,2740066131281248256,2740066131281248256,HD43,2MASS J00052224+0336218,K0III,C,K0III,,,,,,,,,,,,,,,,,,,7.0756,0.0012,8.347,0.017,7.017,0.01,,5.073,0.001,0.017,326009,4.642,0.057,0.059,222387,4.416,0.033,0.036,171799,AEE,000,15.8,,J000522.24+033621.8, 4.207, 0.239, 4.142, 0.147, 4.418, 0.015, 4.366, 0.028,    4.5,    7.4,   72.2,    38.1, 0.200, 0.209, 0.000, 0.000,0000,BBAA,,0.657,1.33,-0.159,0.052,1.34254964,3.606093822,5.488711886,0.035960328,-21.56692071,2.187902516,FALSE,6.6210117,1.74E-04,7.152301,7.42E-04,5.9347334,6.91E-04,182.1921101,,5.495218573,0.051434775,Gaia DR2,0.63434,0.017921,0.630822,0,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
104,TRUE,Both,FALSE,zet_Tuc,,,,HD1581,zet Tuc,TYC 8843-1706-1,2MASS J00200446-6452282,J002004.52-645218.0,4900108950847893376,4900108950849461248,HD1581,2MASS J00200446-6452282,F9.5V,C,F9V,5865,,3.951,,6.992,-0.458,,,,0,,,,,,,,,4.3443,6.00E-04,4.9,0.014,4.286,0.009,,3.068,0.272,0.272,1000000,2.738,0.218,0.218,1000000,2.769,0.25,0.25,658901,DDD,000,42,,J002004.52-645218.0, 5.589, 0.044, 6.097, 0.021, 6.825, 0.043, 5.177, 0.038,   24.4,   51.0,   25.0,    28.2, 0.000, 0.161, 0.000, 0.000,dddd,AAAA,,0.299,0.614,0.412,1.648,5.035609547,-64.86961714,116.1825785,0.13336171,1706.746855,1164.959443,FALSE,4.07351,0.001214417,4.369477,0.001158474,3.6002007,0.002356751,8.607142418,,117.1678876,0.330414681,Gaia DR2,1.228695,9.138754,0.027,0,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
104,FALSE,Both,FALSE,HD_68,,,,HD68,,TYC 9134-2021-1,2MASS J00052705-6757348,J000527.09-675734.7,4706625037851229056,4706625037851229056,HD68,2MASS J00052705-6757348,K3III,C,K3III,,,,,,,,,,,,,,,,,,,,,8.739,0.017,7.211,0.01,,5.085,0.268,0.268,357627,4.189,0.22,0.22,337528,4.099,0.033,0.036,207405,DDE,d00,19.3,,J000527.09-675734.7, 3.992, 0.308, 3.693, 0.204, 3.992, 0.015, 3.937, 0.027,    3.5,    5.3,   71.4,    39.5, 0.211, 0.207, 0.000, 0.000,h000,BBAA,,0.986,1.528,0.055,0.055,1.363038971,-67.95971755,4.062202905,0.016993942,26.05185281,3.074949761,FALSE,6.6673837,1.70E-04,7.324628,6.86E-04,5.886825,8.60E-04,246.171849,,4.105758937,0.024479327,Gaia DR2,0.776164,0.069914,0.218397,0,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
104,FALSE,Faint,FALSE,HR_8809,,,,HD218558,,TYC 9131-161-1,2MASS J23101233-6651275,J231012.75-665127.0,6391331216746941440,6391331216746941440,HD218558,2MASS J23101233-6651275,K0III,C,K0III,,,,,,,,,,,,,,,,,,,6.6287,0.0009,7.692,0.007,6.583,0.004,,5.12,0.278,0.278,281469,4.355,0.236,0.236,227463,4.148,0.001,0.015,172671,DDE,000,27.4,,J231012.75-665127.0,4.108,0.292,3.864,0.198,4.103,0.015,4.064,0.024,3.7,5.5,72.1,45.4,0.224,0.214,0.000,0.000,h000,BBAA,,0.972,1.109,0.044,0.039,347.5540658,-66.85748841,15.75468658,0.015970778,235.8847369,35.07788892,FALSE,6.206931,1.11E+04,6.6977596,"	2.8876e+04",5.5489163,4.40E+04,63.47317637,,15.75468658,0.015970778,Gaia DR2,,,,0,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
