HD_ID,Period,Science,Sequence,Dup_tar,Primary,Ref_ID_1,Ref_ID_2,Ref_ID_3,Bayer_ID,Tycho_ID,2MASS_ID,ALLWISE,GaiaDR2_ID,GaiaDR3_ID,HP,Unnamed: 16,SpT,SpT_q,SpT_simple,Teff,e_teff,logg,e_logg,FeH_abs,FeH_rel,e_FeH_rel,vtur,e_vtur,vsini,teff_source,teff_bib_ref,logg_source,logg_bib_ref,feh_source,feh_bib_ref,vsini_source,vsini_bib_ref,Hpmag,e_Hpmag,BTmag,e_BTmag,VTmag,e_VTmag,tyc_notes,Jmag,Jcmsig,e_Jmag,Jsnr,Hmag,Hcmsig,e_Hmag,Hsnr,Kmag,Kcmsig,e_Kmag,Ksnr,Qflg,Cflg,Prox,2MASS_notes,ALLWISE_ID,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,snr1,snr2,snr3,snr4,sat1,sat2,sat3,sat4,ccf,qph,ALLWISE_confidence,J-K,BT-VT,W1-W4,W3-W4,RA,DEC,Plx,e_Plx,PmRA,PmDEC,Dup,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,Dist,Gaia_comment,Plx_alt,e_Plx_alt,alt_plx_source,JSDC_LDD,e_JSDC_LDD,LDDCHI,CAlFlag,LDD_rel,Quality,Quality_reason,exclusion_reason,in_paper,Comments,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,HD_ID,e_Dist,Bmag,e_Bmag,Vmag,e_Vmag,eb_v,A_V,Bmag_dr,Vmag_dr,Hpmag_dr,BTmag_dr,VTmag_dr,BPmag_dr,RPmag_dr,V-K_calc,LDD_VK,e_LDD_VK,LDD_VW3,e_LDD_VW3,LDD_VW4,e_LDD_VW4,LDD_BV,e_LDD_BV,LDD_BV_feh,e_LDD_BV_feh,LDD_pred,e_LDD_pred,teff_casagrande,e_teff_casagrande
HD222368,104,True,Both,False,iotPsc,,,,iotPsc,TYC  591-1744-1,2MASS J23395706+0537343,J233957.33+053729.9,2.756363608023336e+18,2.756363608023589e+18,HD222368,2MASS J23395706+0537343,F7V,C,F7V,6343.0,100.0,4.32,0.2,7.39,-0.06,0.1,,,3.0,,,,,,,,,4.2373,0.0006,4.718,0.013999999999999999,4.176,0.009000000000000001,,3.299,0.28600000000000003,0.28600000000000003,1000000,2.988,0.24,0.24,1000000.0,2.946,0.28800000000000003,0.28800000000000003,665304.0,DDD,000,51.7,,J233957.33+053729.9,2.044,      , 1.669,      ,2.911,0.013000000000000001,2.859, 0.021,1.6,    1.6,81.9,51.4,0.23600000000000002, 0.214,0.096,0.0,0000,UUAA,,0.353,0.542,-0.815,0.052000000000000005,354.9893506,5.624351601,73.23703629,0.16977987,376.4966062,-436.7597625,False,3.9992578,0.001370705,4.261436499999999,0.001830506,3.5563064,0.002602689,13.654293656016538,,74.44483074,0.333904744,Gaia DR2,1.0590620000000002,0.10244400000000001,0.0199394,0.0,LDD_VK,GOOD,,,True,,,,,,,,,,,,,,,,,,,HD222368,0.03165371401268527,4.616285422853424,0.013999999999999999,4.1178470833120295,0.009000000000000001,0.0,0.0,4.616285422853424,4.1178470833120295,4.2373,4.718,4.176,4.261436499999999,3.5563064,1.388369978397217,1.1889685062176654,0.0546925512860126,1.1065310330166038,0.056433082683846794,1.0935273764394624,0.07873397110364129,0.8827072038397058,0.06885116189949705,1.0786449709924333,0.0485390236946595,1.1889685062176654,0.0546925512860126,6286.5791769123825,79.0
HD1367,104,False,Both,False,HR67,HR67,,,,TYC    2-1641-1,2MASS J00174770+0141193,J001747.76+014119.5,2.5479648154993126e+18,2.5479648154993126e+18,HD1367,2MASS J00174770+0141193,K0III,C,K0III,,,,,,,,,,,,,,,,,,,6.3456,0.0007,7.371,0.015,6.281000000000001,0.01,,4.952,0.21600000000000003,0.21600000000000003,464120,4.3260000000000005,0.20600000000000002,0.20600000000000002,392202.0,4.225,0.264,0.264,235191.0,CCD,000,65.8,,J001747.76+014119.5,3.93, 0.376, 3.672, 0.212,4.001,0.015,3.96, 0.026,2.9,    5.1,71.9,41.8,0.20800000000000002, 0.220,0.0,0.0,0000,CBAA,,0.727,1.09,-0.03,0.040999999999999995,4.449150278,1.6887750240000001,8.813106762,0.027938481,91.41753456,10.18751944,False,5.947008599999999,0.00022799999999999999,6.406061599999999,0.000616,5.3193207000000005,0.001205408,113.46736480167922,,8.875022949,0.041939546,Gaia DR2,0.663706,0.058933000000000006,0.0969316,0.0,LDD_VK,GOOD,,,True,,,,,,,,,,,,,,,,,,,HD1367,0.35970355304221646,7.126122580343318,0.015,6.175786286061529,0.01,-0.04966370571821077,-0.1539574877264534,7.327216852749086,6.32924599445231,6.506972909791945,7.5861215389874515,6.440910571771416,6.565972171771414,5.411973966853642,2.3959125651339375,0.7919549069583517,0.036429925720084175,0.7403936103846362,0.03776007412961645,0.738755921202683,0.053190426326593175,0.7443995108991247,0.058063161850131724,,,0.7919549069583517,0.036429925720084175,,
HD222919,104,False,Bright,False,HD222919,HD222919,,,,TYC  592-338-1,2MASS J23444897+0711305,J234448.97+071130.4,2.7569915666028283e+18,2.7569915666028283e+18,HD222919,2MASS J23444897+0711305,K0,E,K0,,,,,,,,,,,,,,,,,,,7.0425,0.0007,8.28,0.016,6.9910000000000005,0.01,,4.912,0.218,0.218,296914,4.388,0.047,0.049,236434.0,4.31,0.009000000000000001,0.017,153964.0,DEE,000,27.6,,J234448.97+071130.4,4.196000000000001, 0.354, 3.830, 0.176,4.34,0.031,4.164, 0.025,3.1,    6.2,34.7,43.3,0.21899999999999997, 0.222,0.0,0.0,HHH0,BBAA,,0.602,1.2890000000000001,0.032,0.17600000000000002,356.2040322,7.191761694,7.250355862999999,0.024114342,20.53578075,-10.43327594,False,6.568927,0.000103,7.120419999999999,0.0005549999999999999,5.8616614,0.00042199999999999996,137.92426453206218,,7.253779219,0.048690005,Gaia DR2,0.6971970000000001,0.05176,0.0197456,0.0,LDD_VK,GOOD,,,True,,,,,,,,,,,,,,,,,,,HD222919,0.4587296055353108,7.970354382627389,0.016,6.868058021025499,0.01,-0.1477036383981103,-0.45788127903414194,8.568424044683667,7.324458866452545,7.522435308299404,8.919787819832308,7.4665862037958926,7.596006203795891,6.137219263148657,2.9602361378982396,0.7055661297727591,0.03245604196954692,0.6716100084237255,0.03425211042961,0.7132710283040183,0.05135551403788932,1.2550862287689408,0.09789672584397739,,,0.7055661297727591,0.03245604196954692,,
HD223292,104,False,Bright,False,HD223292,HD223292,,,,TYC  592-194-1,2MASS J23481444+0709473,J234814.43+070947.0,2.7569539770491617e+18,2.7569539770491617e+18,HD223292,2MASS J23481444+0709473,G5,E,G5,,,,,,,,,,,,,,,,,,,7.0551,0.0009,8.158,0.016,7.001,0.01,,4.989,0.011000000000000001,0.02,286306,4.497,0.031,0.034,206590.0,4.398,0.006999999999999999,0.016,141978.0,AAA,000,20.8,,J234814.43+070947.0,4.297, 0.256, 4.072, 0.183,4.346,0.016,4.284, 0.025,4.2,    5.9,68.9,44.1,0.21, 0.205,0.0,0.0,0000,BBAA,,0.591,1.157,0.013000000000000001,0.062,357.06010610000004,7.163047561,6.1943593660000005,0.026786068,-21.71380778,-31.250773100000004,False,6.590687299999999,0.00011499999999999999,7.120972,0.000472,5.895704299999999,0.000698,161.4371948597081,,6.1196176179999995,0.050110675,Gaia DR2,0.627794,0.014955000000000001,0.0878293,0.0,LDD_VK,GOOD,,,True,,,,,,,,,,,,,,,,,,,HD223292,0.6980976439592301,7.891642466819933,0.016,6.8903250387701975,0.01,-0.02868257195026458,-0.0889159730458202,8.007781624251948,6.978953526389703,7.148298645348646,8.28224040717116,7.093354092674154,7.213326092674155,5.949214885940472,2.6424088977598483,0.6820082216421638,0.031372378195539535,0.6490561469294062,0.03310186349339971,0.6529991812019231,0.047015941046538466,0.607014942586987,0.04734716552178498,,,0.6820082216421638,0.031372378195539535,,
HD218330,104,False,Faint,False,HD218330,HD218330,,,,TYC  579-445-1,2MASS J23070268+0303079,J230702.69+030308.1,2.6587678635655045e+18,2.6587678635655045e+18,HD218330,2MASS J23070268+0303079,K0III,C,K0III,,,,,,,,,,,,,,,,,,,7.1504,0.0011,8.399,0.017,7.122000000000001,0.01,,5.0569999999999995,0.003,0.017,330849,4.5360000000000005,0.182,0.182,228828.0,4.327,0.009000000000000001,0.017,168120.0,ECA,000,63.8,,J230702.69+030308.1,4.275, 0.320, 4.006, 0.164,4.289,0.015,4.238, 0.026,3.4,    6.6,73.4,41.5,0.20600000000000002, 0.212,0.0,0.0,0000,BBAA,,0.73,1.2770000000000001,0.037000000000000005,0.051,346.7613014,3.052312545,6.086806092000001,0.02290502,34.18705712,15.24434686,False,6.6624274,0.000173,7.229626700000001,0.000755,5.945434,0.000708,164.28977445401424,,6.015569515,0.056321687,Gaia DR2,0.665944,0.041962,0.0335439,0.0,LDD_VK,GOOD,,,True,,,,,,,,,,,,,,,,,,,HD218330,0.6182323722470056,8.093181438335945,0.017,7.000296200436887,0.01,0.09288523789905767,0.2879442374870788,7.717078023127067,6.713282951714068,6.8485868167161,7.996661611490785,6.8229218042278355,6.930548504227835,5.772146070527801,2.4448803006723874,0.6836152314872976,0.031446300648415686,0.6540153412492692,0.03335478240371273,0.6556625533750715,0.04720770384300515,0.6346980644347872,0.0495064490259134,,,0.6836152314872976,0.031446300648415686,,
HD43,104,False,Faint,False,HD43,HD43,,,,TYC    4-586-1,2MASS J00052224+0336218,J000522.24+033621.8,2.740066131281248e+18,2.740066131281248e+18,HD43,2MASS J00052224+0336218,K0III,C,K0III,,,,,,,,,,,,,,,,,,,7.0756,0.0012,8.347000000000001,0.017,7.017,0.01,,5.073,0.001,0.017,326009,4.6419999999999995,0.057,0.059000000000000004,222387.0,4.416,0.033,0.036000000000000004,171799.0,AEE,000,15.8,,J000522.24+033621.8,4.207, 0.239, 4.142, 0.147,4.418,0.015,4.3660000000000005, 0.028,4.5,    7.4,72.2,38.1,0.2, 0.209,0.0,0.0,0000,BBAA,,0.657,1.33,-0.159,0.052000000000000005,1.34254964,3.606093822,5.488711886,0.035960328,-21.56692071,2.187902516,False,6.6210116999999995,0.000174,7.152301,0.000742,5.9347334,0.000691,182.19211005603876,,5.495218573,0.051434775,Gaia DR2,0.63434,0.017921,0.630822,0.0,LDD_VK,GOOD,,,True,,,,,,,,,,,,,,,,,,,HD43,1.1936658678220247,8.025608569110673,0.017,6.890593766918077,0.01,0.13501480219259676,0.41854588679704996,7.4789175194137245,6.473401133519447,6.636894688349965,7.762174691180818,6.582270172573813,6.7175711725738125,5.682847997655663,2.089370446925498,0.615173309669049,0.028297972244776256,0.5963194982220054,0.03041229440932227,0.5988965150611931,0.04312054908440591,0.7125262530473295,0.0555770477376917,,,0.615173309669049,0.028297972244776256,,
HD1581,104,True,Both,False,zetTuc,,,,zetTuc,TYC 8843-1706-1,2MASS J00200446-6452282,J002004.52-645218.0,4.900108950847894e+18,4.900108950849461e+18,HD1581,2MASS J00200446-6452282,F9.5V,C,F9V,5865.0,100.0,3.951,0.2,6.992000000000001,-0.45799999999999996,0.1,,,0.0,,,,,,,,,4.3443,0.0006,4.9,0.013999999999999999,4.2860000000000005,0.009000000000000001,,3.068,0.272,0.272,1000000,2.738,0.218,0.218,1000000.0,2.7689999999999997,0.25,0.25,658901.0,DDD,000,42.0,,J002004.52-645218.0,5.5889999999999995, 0.044, 6.097, 0.021,6.825,0.043,5.1770000000000005, 0.038,24.4,   51.0,25.0,28.2,0.0, 0.161,0.0,0.0,dddd,AAAA,,0.299,0.614,0.41200000000000003,1.6480000000000001,5.035609547,-64.86961714,116.18257849999999,0.13336171,1706.746855,1164.959443,False,4.07351,0.001214417,4.369477,0.001158474,3.6002007000000007,0.0023567510000000002,8.607142421098875,,117.16788759999999,0.330414681,Gaia DR2,1.228695,9.138753999999999,0.027000000000000003,0.0,LDD_VK,GOOD,,,True,,,,,,,,,,,,,,,,,,,HD1581,0.009879822313388286,4.78158161578373,0.013999999999999999,4.220790943424477,0.009000000000000001,0.0,0.0,4.78158161578373,4.220790943424477,4.3443,4.9,4.2860000000000005,4.369477,3.6002007000000007,1.5533965380916501,1.25348426317816,0.057660276106195354,0.12981734736705808,0.006620684715719961,0.24166221543584698,0.017399679511380984,0.8953110866007888,0.06983426475486153,1.1984346486059265,0.05392955918726669,1.25348426317816,0.057660276106195354,5931.989822383849,79.0
HD68,104,False,Both,False,HD68,,,,,TYC 9134-2021-1,2MASS J00052705-6757348,J000527.09-675734.7,4.706625037851229e+18,4.706625037851229e+18,HD68,2MASS J00052705-6757348,K3III,C,K3III,,,,,,,,,,,,,,,,,,,,,8.738999999999999,0.017,7.211,0.01,,5.085,0.268,0.268,357627,4.189,0.22,0.22,337528.0,4.099,0.033,0.036000000000000004,207405.0,DDE,d00,19.3,,J000527.09-675734.7,3.992, 0.308, 3.693, 0.204,3.992,0.015,3.937, 0.027,3.5,    5.3,71.4,39.5,0.21100000000000002, 0.207,0.0,0.0,h000,BBAA,,0.986,1.528,0.055,0.055,1.363038971,-67.95971755,4.062202905,0.016993941999999998,26.05185281,3.074949761,False,6.6673837,0.00016999999999999999,7.324628,0.000686,5.886825,0.00086,246.17184896626918,,4.105758937,0.024479327000000002,Gaia DR2,0.7761640000000001,0.069914,0.21839699999999998,0.0,LDD_VK,GOOD,,,True,,,,,,,,,,,,,,,,,,,HD68,1.029842728490082,8.353071179815322,0.017,7.0652718062433,0.01,0.01779937357202188,0.05517805807326783,8.28099939165571,7.010272151296096,,8.661900867334555,7.153688368418885,7.267316368418884,5.853618253029617,2.9178002798152627,0.7946568649447736,0.036554215787459585,0.7907310208231916,0.040327282061982765,0.787200925062692,0.056678466604513825,1.6701865989282596,0.13027455471640426,,,0.7946568649447736,0.036554215787459585,,
HD218558,104,False,Faint,False,HR8809,,,,,TYC 9131-161-1,2MASS J23101233-6651275,J231012.75-665127.0,6.391331216746941e+18,6.391331216746941e+18,HD218558,2MASS J23101233-6651275,K0III,C,K0III,,,,,,,,,,,,,,,,,,,6.6287,0.0009,7.692,0.006999999999999999,6.582999999999999,0.004,,5.12,0.278,0.278,281469,4.355,0.23600000000000002,0.23600000000000002,227463.0,4.148,0.001,0.015,172671.0,DDE,000,27.4,,J231012.75-665127.0,4.1080000000000005,0.292,3.864,0.198,4.103,0.015,4.064,0.024,3.7,5.5,72.1,45.4,0.22399999999999998,0.214,0.0,0.0,h000,BBAA,,0.972,1.109,0.044000000000000004,0.039,347.55406580000005,-66.85748841,15.75468658,0.015970778,235.8847369,35.07788892,False,6.206931,11100.0,6.6977595999999995,28876.0,5.5489163,44000.0,63.473176373401394,,15.75468658,0.015970778,Gaia DR2,,,,0.0,LDD_VK,GOOD,,,True,,,,,,,,,,,,,,,,,,,HD218558,0.0643437750200194,7.441182293992753,0.006999999999999999,6.476314416568348,0.004,0.0,0.0,7.441182293992753,6.476314416568348,6.6287,7.692,6.582999999999999,6.6977595999999995,5.5489163,2.4075371303411,0.7453385126826875,0.034285571583403625,0.7092688165184963,0.036172709642443304,0.7067278372436369,0.05088440428154185,0.6329392426103354,0.049369260923606155,,,0.7453385126826875,0.034285571583403625,,
HD323,104,False,Faint,False,HD323,,,,,TYC 8846-1469-1,2MASS J00074097-6555566,J000747.13-655555.5,4.707800725017907e+18,4.707800725017907e+18,HD323,2MASS J00074097-6555566,K1/2III,D,K1III,,,,,,,,,,,,,,,,,,,6.9943,0.001,8.329,0.015,6.9479999999999995,0.01,,5.222,0.27,0.27,337777,4.442,0.266,0.266,286490.0,4.442,0.37799999999999995,0.37799999999999995,156538.0,DDD,d00,18.1,,J000747.13-655555.5,11.619000000000002, 0.021,11.715, 0.022,11.708,0.215,9.195,      ,52.3,   50.3,5.1,-0.8,0.0, 0.000,0.0,0.0,dDD0,AABU,,0.78,1.381,2.424,2.513,1.920990143,-65.93268523,6.863113762999999,0.023530007999999998,29.36627295,-57.36859978,False,6.5222397,0.000136,7.0806173999999995,0.001103816,5.815854,0.0008730000000000001,145.70645839955895,,6.925492115,0.022844367,Gaia DR2,0.645752,0.080955,0.0721073,0.0,LDD_VK,GOOD,,,True,,,,,,,,,,,,,,,,,,,HD323,0.4995508234581029,7.992321604171588,0.015,6.816986324683727,0.01,0.10533527948786081,0.3265393664123685,7.565806484509414,6.4915027338057865,6.652032738447849,7.872733454735077,6.608834314978852,6.741451714978852,5.619339108121664,2.3052421271534462,0.6955501221559965,0.03199530561917584,0.010849308812517257,0.00055331474943838,0.019524960843293245,0.0014057971807171139,0.8859048274490079,0.06910057654102261,,,0.6955501221559965,0.03199530561917584,,
HD220757,104,False,Bright,False,HD220757,,,,HD220757,TYC 8838-655-1,2MASS J23265880-5825260,J232658.92-582526.4,6.489536331165022e+18,6.489536331165022e+18,HD220757,2MASS J23265880-5825260,K3IIICNII,C,K3III,,,,,,,,,,,,,,,,,,,7.292999999999999,0.0009,8.77,0.016,7.271,0.01,,5.105,0.011000000000000001,0.02,295413,4.593,0.031,0.034,209754.0,4.4030000000000005,0.021,0.026000000000000002,141325.0,AEA,000,25.5,,J232658.92-582526.4,4.277, 0.290, 4.128, 0.160,4.295,0.016,4.2589999999999995, 0.030,3.7,    6.8,68.1,36.6,0.217, 0.214,0.0,0.0,hh00,BBAA,,0.7020000000000001,1.499,0.018000000000000002,0.036000000000000004,351.74591910000004,-58.42406074,6.415963143,0.015847173,87.36900329,-56.575553500000005,False,6.762232000000001,0.000263,7.371906,0.00148014,6.020271,0.000717,155.86124447909722,,6.37970125,0.032108541000000004,Gaia DR2,0.6772779999999999,0.015898,0.6897340000000001,0.0,LDD_VK,GOOD,,,True,,,,,,,,,,,,,,,,,,,HD220757,0.38497105581885177,8.393326943041595,0.016,7.128097987508083,0.01,-0.004771044466487684,-0.01479023784611182,8.412645471567188,7.142840405174233,7.3085026153842065,8.790666086297142,7.286362132920805,7.387268132920805,6.029171923717458,2.8499898540935518,0.7174245636829614,0.03300152992941622,0.6773571653721139,0.03454521543397781,0.6697797463157722,0.048224141734735604,1.563457124912501,0.1219496557431751,,,0.7174245636829614,0.03300152992941622,,
