HD_ID,Primary,Quality,Science,calibrator_position,input_name
HD84900,HD84900,,True,2,HD_84900
HD65695,27Mon,,True,2,27_Mon
HD125490,HD125490,,True,2,HD125490
HD1367,HR67,,True,2,HR_67
HD51814,HR2610,,True,2,HR_2610
HD5457,lamTuc,,True,2,lam_Tuc
HD33419,HR1681,,True,2,HR_1681
HD71231,HR3317,,True,2,HR_3317
HD142443,HD142443,,True,2,HD142443
HD66162,HD66162,,True,2,HD_66162
HD8025,HD8025,,True,2,HD_8025
HD42747,HD42747,,True,2,HD_42747
HD84369,HD84369,,True,2,HD_84369
HD65187,HD65187,,True,2,HD_65187
HD47156,HR2426,,True,2,HR_2426
HD15248,kapHyi,,True,2,kap_Hyi
HD143896,HD143896,,True,2,HD143896
HD186202,HD186202,,True,2,HD186202
HD143129,HD143129,,True,2,HD143129
HD32263,HR1618,,True,2,HR_1618
HD323,HD323,,True,2,HD_323
