HD_ID,Primary,bad_vis2_frac,cal_name_from_file,diagnosis,filename,flagged_frac,input_Quality,median_vis2,n_finite,n_flagged,n_good,n_total,reason,reduced_chi2,robust_scatter,std_vis2
HD61574,HD61574,0.0,HD61574,OK,2019-11-25_SCI_HD61574_oidataCalibrated_00.fits,0.0,GOOD,0.8933435678060223,36,0,36,36,No obvious problem detected,0.8108331088413072,0.03461854786139449,0.046781375231608135
HD65187,HD65187,0.0,HD65187,OK,2019-11-25_SCI_HD65187_oidataCalibrated_00.fits,0.0,GOOD,1.0018851954775108,36,0,36,36,No obvious problem detected,0.438726746201702,0.023440710422067208,0.05485932739348209
HD62644,HR2998,0.0,HR2998,OK,2019-11-25_SCI_HR2998_oidataCalibrated_00.fits,0.0,GOOD,0.9692988264578593,72,0,72,72,No obvious problem detected,1.2821727812563584,0.028137503125920574,0.08970710355976588
HD65491,HD65491,0.0,HD65491,OK,2019-11-26_SCI_HD65491_oidataCalibrated_00.fits,0.0,GOOD,0.9681088262575844,36,0,36,36,No obvious problem detected,0.26778414171772247,0.011040844950802315,0.045561813600393165
HD66162,HD66162,0.0,HD66162,OK,2019-11-26_SCI_HD66162_oidataCalibrated_00.fits,0.0,GOOD,0.912684819926592,36,0,36,36,No obvious problem detected,0.4988591680751346,0.020958721834259206,0.05921846460665501
HD62644,HR2998,0.0,HR2998,OK,2019-11-26_SCI_HR2998_oidataCalibrated_00.fits,0.0,GOOD,0.8726504690359144,72,0,72,72,No obvious problem detected,0.2503072375150881,0.012110955924727137,0.11498239168790583
HD222919,HD222919,0.0,HD222919,OK,2019-11-27_SCI_HD222919_oidataCalibrated_00.fits,0.0,GOOD,0.8694511834707755,36,0,36,36,No obvious problem detected,1.1930340287308379,0.017061716377438467,0.04828917238496763
HD223292,HD223292,0.0,HD223292,OK,2019-11-27_SCI_HD223292_oidataCalibrated_00.fits,0.0,GOOD,0.9304078821351145,36,0,36,36,No obvious problem detected,0.8843569096512933,0.019334606322335572,0.038863631210107955
HD323,HD323,0.0,HD323,OK,2019-11-27_SCI_HD323_oidataCalibrated_00.fits,0.0,GOOD,0.9144757602318591,36,0,36,36,No obvious problem detected,0.5705642172516735,0.013323432850464462,0.031290825102284404
HD68,HD68,0.0,HD68,OK,2019-11-27_SCI_HD68_oidataCalibrated_00.fits,0.0,GOOD,0.9331532681829822,36,0,36,36,No obvious problem detected,0.04903992745123319,0.006076416981840645,0.0324883555990539
HD1367,HR67,0.0,HR67,OK,2019-11-27_SCI_HR67_oidataCalibrated_00.fits,0.0,GOOD,0.9107411166622159,36,0,36,36,No obvious problem detected,1.0101509641269135,0.01723228860515239,0.03525921003655001
HD1581,zetTuc,0.0,zet_Tuc,OK,2019-11-27_SCI_zet_Tuc_oidataCalibrated_00.fits,0.0,GOOD,0.8062797665842903,72,0,72,72,No obvious problem detected,2.196235326831551,0.0221585485109738,0.09818013281224505
HD30507,HD30507,0.0,HD30507,OK,2019-11-28_SCI_HD30507_oidataCalibrated_00.fits,0.0,GOOD,0.8147890451409143,36,0,36,36,No obvious problem detected,1.3409452810948754,0.024571217195287622,0.10020716946415248
HD30519,HD30519,0.0,HD30519,OK,2019-11-28_SCI_HD30519_oidataCalibrated_00.fits,0.0,GOOD,0.8147999567808077,36,0,36,36,No obvious problem detected,0.5283707472445012,0.02381810293495999,0.05195172373183906
HD32263,HR1618,0.0,HR1618,OK,2019-11-28_SCI_HR1618_oidataCalibrated_00.fits,0.0,GOOD,0.7418570953775461,36,0,36,36,No obvious problem detected,0.4981813431076003,0.015204492333027172,0.12217379563950777
HD220757,HD220757,0.0,HD220757,OK,2019-11-29_SCI_HD220757_oidataCalibrated_00.fits,0.0,GOOD,0.8970844406310264,36,0,36,36,No obvious problem detected,0.3188312325062893,0.00794101721505432,0.03459949949721904
HD43,HD43,0.0,HD43,OK,2019-11-29_SCI_HD43_oidataCalibrated_00.fits,0.0,GOOD,0.8806091045031407,36,0,36,36,No obvious problem detected,0.3969498353612467,0.01909156571683433,0.03233467687486279
HD68,HD68,0.0,HD68,OK,2019-11-29_SCI_HD68_oidataCalibrated_00.fits,0.0,GOOD,0.9267383318540481,36,0,36,36,No obvious problem detected,0.22395280057366135,0.008503768532114611,0.05335992974630719
HD8025,HD8025,0.0,HD8025,OK,2019-11-29_SCI_HD8025_oidataCalibrated_00.fits,0.0,GOOD,0.9125224343692434,36,0,36,36,No obvious problem detected,0.6514999671676271,0.012507018521694687,0.04442256202011939
HD30545,HR1534,0.0,HR1534,OK,2019-11-29_SCI_HR1534_oidataCalibrated_00.fits,0.0,GOOD,0.7652712194028639,36,0,36,36,No obvious problem detected,0.3050317248450234,0.010714009112251085,0.09323362820608679
HD32263,HR1618,0.0,HR1618,OK,2019-11-29_SCI_HR1618_oidataCalibrated_00.fits,0.0,GOOD,0.7070299811376688,36,0,36,36,No obvious problem detected,0.2069871345818076,0.008710450368654006,0.11597977374950043
HD33419,HR1681,0.0,HR1681,OK,2019-11-29_SCI_HR1681_oidataCalibrated_00.fits,0.0,GOOD,0.8225957480782946,36,0,36,36,No obvious problem detected,0.16728270595485864,0.011937633487386943,0.06863202456471001
HD1367,HR67,0.0,HR67,OK,2019-11-29_SCI_HR67_oidataCalibrated_00.fits,0.0,GOOD,0.9015597366807092,36,0,36,36,No obvious problem detected,0.24823699152047823,0.014687173532658228,0.053186370415726734
HD1581,zetTuc,0.0,zet_Tuc,OK,2019-11-29_SCI_zet_Tuc_oidataCalibrated_00.fits,0.0,GOOD,0.8116569302194457,72,0,72,72,No obvious problem detected,0.4062821579167924,0.010854006214037839,0.11316062889269063
HD65181,HD65181,0.0,HD65181,OK,2021-02-17_SCI_HD65181_oidataCalibrated_00.fits,0.0,GOOD,0.8900412242974819,36,0,36,36,No obvious problem detected,0.7550372253229166,0.02406383452240526,0.09666071858103177
HD70942,HD70942,0.0,HD70942,OK,2021-02-17_SCI_HD70942_oidataCalibrated_00.fits,0.0,GOOD,0.8912789680480335,36,0,36,36,No obvious problem detected,1.631814083267322,0.04042122451292901,0.05999412365594441
