HD_ID,Primary,cal_name_from_file,diagnosis,filename,flagged_frac,input_Quality,n_flagged,n_good,n_total
HD61574,HD61574,HD61574,OK,2019-11-25_SCI_HD61574_oidataCalibrated_00.fits,0.0,GOOD,0,36,36
HD65187,HD65187,HD65187,OK,2019-11-25_SCI_HD65187_oidataCalibrated_00.fits,0.0,GOOD,0,36,36
HD62644,HR2998,HR2998,OK,2019-11-25_SCI_HR2998_oidataCalibrated_00.fits,0.0,GOOD,0,72,72
HD65491,HD65491,HD65491,OK,2019-11-26_SCI_HD65491_oidataCalibrated_00.fits,0.0,GOOD,0,36,36
HD66162,HD66162,HD66162,OK,2019-11-26_SCI_HD66162_oidataCalibrated_00.fits,0.0,GOOD,0,36,36
HD62644,HR2998,HR2998,OK,2019-11-26_SCI_HR2998_oidataCalibrated_00.fits,0.0,GOOD,0,72,72
HD222919,HD222919,HD222919,OK,2019-11-27_SCI_HD222919_oidataCalibrated_00.fits,0.0,GOOD,0,36,36
HD223292,HD223292,HD223292,OK,2019-11-27_SCI_HD223292_oidataCalibrated_00.fits,0.0,GOOD,0,36,36
HD323,HD323,HD323,OK,2019-11-27_SCI_HD323_oidataCalibrated_00.fits,0.0,GOOD,0,36,36
HD68,HD68,HD68,OK,2019-11-27_SCI_HD68_oidataCalibrated_00.fits,0.0,GOOD,0,36,36
HD1367,HR67,HR67,OK,2019-11-27_SCI_HR67_oidataCalibrated_00.fits,0.0,GOOD,0,36,36
HD1581,zetTuc,zet_Tuc,OK,2019-11-27_SCI_zet_Tuc_oidataCalibrated_00.fits,0.0,GOOD,0,72,72
HD30507,HD30507,HD30507,OK,2019-11-28_SCI_HD30507_oidataCalibrated_00.fits,0.0,GOOD,0,36,36
HD30519,HD30519,HD30519,OK,2019-11-28_SCI_HD30519_oidataCalibrated_00.fits,0.0,GOOD,0,36,36
HD32263,HR1618,HR1618,OK,2019-11-28_SCI_HR1618_oidataCalibrated_00.fits,0.0,GOOD,0,36,36
HD220757,HD220757,HD220757,OK,2019-11-29_SCI_HD220757_oidataCalibrated_00.fits,0.0,GOOD,0,36,36
HD43,HD43,HD43,OK,2019-11-29_SCI_HD43_oidataCalibrated_00.fits,0.0,GOOD,0,36,36
HD68,HD68,HD68,OK,2019-11-29_SCI_HD68_oidataCalibrated_00.fits,0.0,GOOD,0,36,36
HD8025,HD8025,HD8025,OK,2019-11-29_SCI_HD8025_oidataCalibrated_00.fits,0.0,GOOD,0,36,36
