night,oi_target,matched_id,expected_role,tgt_info_role,sequence_names,Primary,HD_ID,Ref_ID_1,Ref_ID_2,Ref_ID_3,old_oidiam_names,old_name_matches_real_oi_target,n_files,status
2019-11-25,HD61574,HD61574,CAL,CAL,HD_61574,HD61574,HD61574,,,,HD61574,True,5,OK
2019-11-25,HD65187,HD65187,CAL,CAL,HD_65187,HD65187,HD65187,,,,HD65187,True,5,OK
2019-11-25,HR_2998,HD62644,SCI,SCI,HR_2998,HR2998,HD62644,,,,HD62644,False,10,WARNING:OLD_OIDIAM_NAME_MISMATCH
2019-11-25,HR_3069,HD64181,CAL,CAL,HR_3069,HR3069,HD64181,,,,HD64181,False,5,WARNING:OLD_OIDIAM_NAME_MISMATCH
2019-11-26,HD65491,HD65491,CAL,CAL,HD_65491,HD65491,HD65491,,,,HD65491,True,5,OK
2019-11-26,HD66162,HD66162,CAL,CAL,HD_66162,HD66162,HD66162,,,,HD66162,True,5,OK
2019-11-26,HR_2998,HD62644,SCI,SCI,HR_2998,HR2998,HD62644,,,,HD62644,False,10,WARNING:OLD_OIDIAM_NAME_MISMATCH
2019-11-26,HR_3069,HD64181,CAL,CAL,HR_3069,HR3069,HD64181,,,,HD64181,False,5,WARNING:OLD_OIDIAM_NAME_MISMATCH
2019-11-27,HD222919,HD222919,CAL,CAL,HD_222919,HD222919,HD222919,HD222919,,,HD222919 | HD222919,True,5,OK
2019-11-27,HD223292,HD223292,CAL,CAL,HD_223292,HD223292,HD223292,HD223292,,,HD223292 | HD223292,True,5,OK
2019-11-27,HD323,HD323,CAL,CAL,HD_323,HD323,HD323,,,,HD323,True,5,OK
2019-11-27,HD68,HD68,CAL,CAL,HD_68,HD68,HD68,,,,HD68,True,5,OK
2019-11-27,HR8809,HD218558,CAL,CAL,HR_8809,HR8809,HD218558,,,,HD218558,False,5,WARNING:OLD_OIDIAM_NAME_MISMATCH
2019-11-27,HR_67,HD1367,CAL,CAL,HR_67,HR67,HD1367,HR67,,,HD1367 | HR67,True,5,OK
2019-11-27,IOT_PSC,HD222368,SCI,SCI,iot_Psc,iotPsc,HD222368,,,,HD222368,False,10,WARNING:OLD_OIDIAM_NAME_MISMATCH
2019-11-27,zet_Tuc,HD1581,SCI,SCI,zet_Tuc,zetTuc,HD1581,,,,HD1581,False,10,WARNING:OLD_OIDIAM_NAME_MISMATCH
2019-11-28,HD218330,HD218330,CAL,CAL,HD_218330,HD218330,HD218330,HD218330,,,HD218330 | HD218330,True,5,OK
2019-11-28,HD30507,HD30507,CAL,CAL,HD_30507,HD30507,HD30507,HD30507,,,HD30507 | HD30507,True,5,OK
2019-11-28,HD30519,HD30519,CAL,CAL,HD_30519,HD30519,HD30519,HD30519,,,HD30519 | HD30519,True,5,OK
2019-11-28,HD43,HD43,CAL,CAL,HD_43,HD43,HD43,HD43,,,HD43 | HD43,True,5,OK
2019-11-28,HR_1618,HD32263,CAL,CAL,HR_1618,HR1618,HD32263,HR1618,,,HD32263 | HR1618,True,5,OK
2019-11-28,HR_67,HD1367,CAL,CAL,HR_67,HR67,HD1367,HR67,,,HD1367 | HR67,True,5,OK
2019-11-28,IOT_PSC,HD222368,SCI,SCI,iot_Psc,iotPsc,HD222368,,,,HD222368,False,10,WARNING:OLD_OIDIAM_NAME_MISMATCH
2019-11-28,pi3_Ori,HD30652,SCI,SCI,pi3_Ori,pi3Ori,HD30652,,,,HD30652,False,10,WARNING:OLD_OIDIAM_NAME_MISMATCH
2019-11-29,HD220757,HD220757,CAL,CAL,HD_220757,HD220757,HD220757,,,,HD220757,True,5,OK
2019-11-29,HD68,HD68,CAL,CAL,HD_68,HD68,HD68,,,,HD68,True,5,OK
2019-11-29,HD8025,HD8025,CAL,CAL,HD_8025,HD8025,HD8025,,,,HD8025,True,5,OK
2019-11-29,HR_1534,HD30545,CAL,CAL,HR_1534,HR1534,HD30545,HR1534,,,HD30545 | HR1534,True,5,OK
2019-11-29,HR_1618,HD32263,CAL,CAL,HR_1618,HR1618,HD32263,HR1618,,,HD32263 | HR1618,True,5,OK
2019-11-29,HR_1681,HD33419,CAL,CAL,HR_1681,HR1681,HD33419,HR1681,,,HD33419 | HR1681,True,5,OK
2019-11-29,pi3_Ori,HD30652,SCI,SCI,pi3_Ori,pi3Ori,HD30652,,,,HD30652,False,10,WARNING:OLD_OIDIAM_NAME_MISMATCH
2019-11-29,zet_Tuc,HD1581,SCI,SCI,zet_Tuc,zetTuc,HD1581,,,,HD1581,False,10,WARNING:OLD_OIDIAM_NAME_MISMATCH
2021-02-18,HD  63734,HD63734,CAL,CAL,HD_63734 | HD  63734,HD63734,HD63734,,,,HD63734,True,5,OK
2021-02-18,HD38295,HD38295,CAL,CAL,HD_38295,HD38295,HD38295,,,,HD38295,True,5,OK
2021-02-18,HD42747,HD42747,CAL,CAL,HD_42747,HD42747,HD42747,,,,HD42747,True,5,OK
2021-02-18,HD59936,HD59936,CAL,CAL,HD_59936,HD59936,HD59936,,,,HD59936,True,5,OK
2021-02-18,HR_2090,HD40235,CAL,CAL,HR_2090,HR2090,HD40235,,,,HD40235,False,5,WARNING:OLD_OIDIAM_NAME_MISMATCH
2021-02-18,HR_3317,HD71231,CAL,CAL,HR_3317,HR3317,HD71231,,,,HD71231,False,5,WARNING:OLD_OIDIAM_NAME_MISMATCH
2021-02-18,gam_Lep,HD38393,SCI,SCI,gam_Lep,gamLep,HD38393,,,,HD38393,False,10,WARNING:OLD_OIDIAM_NAME_MISMATCH
2021-02-18,rho_Pup,HD67523,SCI,SCI,rho_Pup,rhoPup,HD67523,,,,HD67523,False,10,WARNING:OLD_OIDIAM_NAME_MISMATCH
2021-02-26,27_Mon,HD65695,CAL,CAL,27_Mon,27Mon,HD65695,,,,HD65695,False,5,WARNING:OLD_OIDIAM_NAME_MISMATCH
2021-02-26,HD63241,HD63241,CAL,CAL,HD_63241,HD63241,HD63241,,,,HD63241,True,5,OK
2021-02-26,HR_2729,HD55751,CAL,CAL,HR_2729,HR2729,HD55751,,,,HD55751,False,5,WARNING:OLD_OIDIAM_NAME_MISMATCH
2021-02-26,alf_CMi,HD61421,SCI,SCI,alf_CMi,alfCMi,HD61421,alfcmi,,,HD61421 | alfcmi,True,10,OK
2021-03-05,HD76437,HD76437,CAL,CAL,HD_76437,HD76437,HD76437,,,,HD76437,True,5,OK
2021-03-05,HD84369,HD84369,CAL,CAL,HD_84369,HD84369,HD84369,,,,HD84369,True,5,OK
2021-03-05,HR_3729,HD81134,CAL,CAL,HR_3729,HR3729,HD81134,,,,HD81134,False,5,WARNING:OLD_OIDIAM_NAME_MISMATCH
2021-03-05,psi_Vel,HD82434,SCI,SCI,psi_Vel,psiVel,HD82434,psivela,HD82434a,,HD82434 | psivela | HD82434a,False,10,WARNING:OLD_OIDIAM_NAME_MISMATCH
2021-09-05,HD4332,HD4332,CAL,CAL,HD_4332,HD4332,HD4332,,,,HD4332,True,5,OK
2021-09-05,bet_Hyi_bad,,CAL,UNKNOWN,,,,,,,,False,10,ERROR:NO_TGT_INFO_MATCH;WARNING:OLD_OIDIAM_NAME_MISMATCH;WARNING:NO_SEQUENCE_NAME_MATCH
2021-09-05,lam_Tuc,HD5457,CAL,CAL,lam_Tuc,lamTuc,HD5457,,,,HD5457,False,5,WARNING:OLD_OIDIAM_NAME_MISMATCH
2021-09-05,sig_Pav,HD197635,CAL,CAL,sig_Pav,sigPav,HD197635,,,,HD197635,False,5,WARNING:OLD_OIDIAM_NAME_MISMATCH
2021-09-11,HD210056,HD210056,CAL,CAL,HD_210056,HD210056,HD210056,HD210056,HR_8432,,HD210056 | HD210056 | HR_8432,True,5,OK
2021-09-11,bet_Hyi_bad,,CAL,UNKNOWN,,,,,,,,False,10,ERROR:NO_TGT_INFO_MATCH;WARNING:OLD_OIDIAM_NAME_MISMATCH;WARNING:NO_SEQUENCE_NAME_MATCH
2021-09-11,kap_Hyi,HD15248,CAL,CAL,kap_Hyi,kapHyi,HD15248,,,,HD15248,False,5,WARNING:OLD_OIDIAM_NAME_MISMATCH
