bootstrap_i,duration_seconds,end_time,error_message,error_type,ldd_csv,n_e_pred_LDD_nan,n_ldd_targets,n_nights,n_pred_LDD_nan,n_result_files_after,n_result_files_before,n_result_files_created,n_sequences,n_visibility_files,start_time,status,traceback_file,txt_log,visibility_csv,visibility_pdf
0,375.876309,2026-06-26 16:16:13.431962,,,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_000_ldd_inputs.csv,1,84,16,1,87,87,0,22,87,2026-06-26 16:09:57.555653,OK,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_000_traceback.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_000_log.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_000_summary.csv,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_000.pdf
1,378.693893,2026-06-26 16:22:32.126260,,,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_001_ldd_inputs.csv,1,84,16,1,87,87,0,22,87,2026-06-26 16:16:13.432367,OK,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_001_traceback.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_001_log.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_001_summary.csv,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_001.pdf
2,374.906952,2026-06-26 16:28:47.033489,,,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_002_ldd_inputs.csv,1,84,16,1,87,87,0,22,87,2026-06-26 16:22:32.126537,OK,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_002_traceback.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_002_log.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_002_summary.csv,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_002.pdf
3,370.788063,2026-06-26 16:34:57.822119,,,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_003_ldd_inputs.csv,1,84,16,1,87,87,0,22,87,2026-06-26 16:28:47.034056,OK,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_003_traceback.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_003_log.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_003_summary.csv,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_003.pdf
4,372.097189,2026-06-26 16:41:09.919919,,,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_004_ldd_inputs.csv,1,84,16,1,87,87,0,22,87,2026-06-26 16:34:57.822730,OK,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_004_traceback.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_004_log.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_004_summary.csv,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_004.pdf
5,393.386608,2026-06-26 16:47:43.306924,,,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_005_ldd_inputs.csv,1,84,16,1,87,87,0,22,87,2026-06-26 16:41:09.920316,OK,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_005_traceback.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_005_log.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_005_summary.csv,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_005.pdf
6,374.900331,2026-06-26 16:53:58.208189,,,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_006_ldd_inputs.csv,1,84,16,1,87,87,0,22,87,2026-06-26 16:47:43.307858,OK,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_006_traceback.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_006_log.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_006_summary.csv,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_006.pdf
7,375.887592,2026-06-26 17:00:14.096210,,,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_007_ldd_inputs.csv,1,84,16,1,87,87,0,22,87,2026-06-26 16:53:58.208618,OK,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_007_traceback.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_007_log.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_007_summary.csv,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_007.pdf
8,371.824978,2026-06-26 17:06:25.922600,,,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_008_ldd_inputs.csv,1,84,16,1,87,87,0,22,87,2026-06-26 17:00:14.097622,OK,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_008_traceback.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_008_log.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_008_summary.csv,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_008.pdf
9,373.367762,2026-06-26 17:12:39.290888,,,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_009_ldd_inputs.csv,1,84,16,1,87,87,0,22,87,2026-06-26 17:06:25.923126,OK,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_009_traceback.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_009_log.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_009_summary.csv,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_009.pdf
